id,name,url,protected,pinned_tweet_id,profile_image_url,username,public_metrics,description,entities,verified,location
1445848435140304896,Vinny Schoen,,False,,https://pbs.twimg.com/profile_images/1484580912436334592/5iH8A2Pe_normal.jpg,RobertJ0301,"{'followers_count': 144, 'following_count': 923, 'tweet_count': 4375, 'listed_count': 1}",Knicks. Giants. Yankees. Rangers.,,False,
40683323,Dan,,False,,https://pbs.twimg.com/profile_images/940396610315538432/AdqXVBtM_normal.jpg,dango9,"{'followers_count': 58, 'following_count': 255, 'tweet_count': 4770, 'listed_count': 2}","""The party told you to reject the evidence of your eyes and ears. It was their final, most essential command.""",,False,"Skillman, NJ"
346272624,𝙏𝙝𝙚 𝙏𝙞𝙢 🇺🇦,,False,,https://pbs.twimg.com/profile_images/1490355234648076298/EfPMcNxv_normal.jpg,Tim1andonly,"{'followers_count': 4472, 'following_count': 4890, 'tweet_count': 2191, 'listed_count': 4}","🌊Singer🎙, Songwriter🎵, Actor🎭, VᗴⒼẸ𝔱αᖇian🥦 𝕽𝖔𝖈𝖐 𝕾𝖙𝖆𝖗⭐, ᏝᏋᎶᏋᏁᎴ😷🤬🐱👨‍🔬💉🌊 #StrongerTogether, #FBR","{'description': {'hashtags': [{'start': 70, 'end': 87, 'tag': 'StrongerTogether'}, {'start': 89, 'end': 93, 'tag': 'FBR'}]}}",False,The Blue Wave City
67882397,かさいじ,https://t.co/CfGiCqLljL,False,1.4978774687616942e+18,https://pbs.twimg.com/profile_images/1001683688713834496/XI587zUu_normal.jpg,kasaiji,"{'followers_count': 1993, 'following_count': 996, 'tweet_count': 309951, 'listed_count': 76}",ツイートの9割がビデオゲームについて。下ネタでも何でもウェルカムですので、フォローリムーブも適当にどうぞ。 ゲームに限らずネタバレには気をつけていますが、「前情報」に関しては配慮せずツイートすることがありますのでご注意を。,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/CfGiCqLljL', 'expanded_url': 'http://www.pixiv.net/member.php?id=65986', 'display_url': 'pixiv.net/member.php?id=…'}]}}",False,狭間の地
318774872,Bob Frazier,,False,1.2222921766605496e+18,https://pbs.twimg.com/profile_images/925407871625461760/j67ORfrR_normal.jpg,fraz4919,"{'followers_count': 166, 'following_count': 404, 'tweet_count': 2700, 'listed_count': 0}","certifiable sports nut!!! CUBS! Bears, Bulls, BHawks.                         Unless someone like you cares a whole lot, Nothing is going to get better. Its Not",,False,Crystal Lake
1000558874053824512,Ottsss,,False,,https://pbs.twimg.com/profile_images/1521218525393735682/2AyKVtXB_normal.jpg,Isaac08_,"{'followers_count': 161, 'following_count': 267, 'tweet_count': 999, 'listed_count': 0}",,,False,"Inca, España"
1221371790443851776,SeydivakkasUruç,,False,,https://pbs.twimg.com/profile_images/1479841658061611014/yelSBTxy_normal.jpg,SeydivakkasU,"{'followers_count': 45, 'following_count': 93, 'tweet_count': 159, 'listed_count': 0}",Bayrak şereftir şerefsiz ne bilsin🇹🇷🇹🇷🇹🇷,,False,"Gaziantep, Türkiye"
1038073950012669952,Deitt Mantew,,False,,https://pbs.twimg.com/profile_images/1514363056347832323/VZRoRmjo_normal.jpg,DeittMantew,"{'followers_count': 68, 'following_count': 144, 'tweet_count': 3933, 'listed_count': 0}","Soy Daniel Manteca Garmendia, Atleti-Getafe no me decanto, juego al baloncesto (no aseguro ser muy bueno la verda)",,False,"Madrid, España"
64612181,zzgator 🐊,,False,8.557021302624993e+17,https://pbs.twimg.com/profile_images/1228369650439872513/KQIkTmF7_normal.jpg,zzgator,"{'followers_count': 756, 'following_count': 200, 'tweet_count': 181409, 'listed_count': 62}",,,False,"Florida, USA"
3145889795,Anita Murphy,,False,,https://pbs.twimg.com/profile_images/988079091013300224/E2od3-mI_normal.jpg,anitamurphy40,"{'followers_count': 66, 'following_count': 71, 'tweet_count': 953, 'listed_count': 0}",Retired after43 years as coach for the Lewiston (Me) High School Girls Tennis team. Life long N.E. Sports fan. Proud Memere of 8 & 3 great grandchildren .,,False,"Lewiston, ME"
14793727,Janie,,False,1.519409695542362e+18,https://pbs.twimg.com/profile_images/1521976371697922048/G5I-tOU2_normal.jpg,ohiamjanie,"{'followers_count': 1120, 'following_count': 972, 'tweet_count': 81805, 'listed_count': 33}","Chaotic, in a good way. Probably someone’s silly anecdote from their foolish youth they tell at cocktail parties.",,False,Somewhere there’s food
127278478,Mike Mott,https://t.co/oEbmUBmNeH,False,,https://pbs.twimg.com/profile_images/1399078460971159561/YeP4n6YS_normal.jpg,mikemott42,"{'followers_count': 88, 'following_count': 166, 'tweet_count': 5228, 'listed_count': 3}","For free: husband, father, strummer (guitar or ukulele), film buff, music lover, book devourer, political semi-geek. For pay: software engineer.","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/oEbmUBmNeH', 'expanded_url': 'http://sein514.blogspot.com', 'display_url': 'sein514.blogspot.com'}]}}",False,"Huntsville, AL"
1322592445947768832,Crimstrei,,False,1.4778048410533396e+18,https://pbs.twimg.com/profile_images/1521571714479628289/PfdzSw4I_normal.jpg,crimstrei,"{'followers_count': 13, 'following_count': 13, 'tweet_count': 158, 'listed_count': 0}","Crimstrei’s main account
She/He/They
Artist, bard, and full time @jrwishow enjoyer","{'description': {'mentions': [{'start': 65, 'end': 74, 'username': 'jrwishow'}]}}",False,
952112574,(((Aiden Orzech))),,False,,https://pbs.twimg.com/profile_images/1493321776390094857/ltGL6mGv_normal.jpg,aiden_orzech,"{'followers_count': 140, 'following_count': 4840, 'tweet_count': 3547, 'listed_count': 2}",(he/him),,False,"Toronto, Ontario"
242436012,Madame Krefting,,False,,https://pbs.twimg.com/profile_images/1491971752364175364/XCtHouTt_normal.jpg,mmekrefting,"{'followers_count': 854, 'following_count': 1143, 'tweet_count': 5531, 'listed_count': 49}",Mom of 3. Wife. Middle School Educator of FSL. Masters in Educational Leadership. she/her,,False,
1484454591672381440,누니nuni,,False,1.5069616762932224e+18,https://pbs.twimg.com/profile_images/1507183401542987798/xqeVt1JP_normal.jpg,dalgom0211,"{'followers_count': 0, 'following_count': 34, 'tweet_count': 19, 'listed_count': 0}",🎮☕️,,False,동물과자공장
1410683574341148672,Mike Vandersys,,False,,https://pbs.twimg.com/profile_images/1410683931020562435/yZHW3252_normal.jpg,IdahoMikey,"{'followers_count': 6, 'following_count': 61, 'tweet_count': 420, 'listed_count': 1}","I don't care about anyones issue but my own, welcome to the new world #antilgbtq #antiBLM","{'description': {'hashtags': [{'start': 70, 'end': 80, 'tag': 'antilgbtq'}, {'start': 81, 'end': 89, 'tag': 'antiBLM'}]}}",False,
1965987018,Jorge VázquezÁngeles,,False,,https://pbs.twimg.com/profile_images/1499096868281794563/SEglOC54_normal.jpg,jorgevazan,"{'followers_count': 47, 'following_count': 150, 'tweet_count': 154, 'listed_count': 1}",,,False,"México, DF"
1046777517196148736,Magotex,https://t.co/zD3kNiXrUU,False,,https://pbs.twimg.com/profile_images/1422018815701946373/UdLybghr_normal.jpg,mangeltg08,"{'followers_count': 17, 'following_count': 45, 'tweet_count': 1266, 'listed_count': 0}","Dibujo de vez en cuando, hago streams casi a diario y subo videos a YouTube.","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/zD3kNiXrUU', 'expanded_url': 'http://twitch.tv/elmagotexyt', 'display_url': 'twitch.tv/elmagotexyt'}]}}",False,"Madrid, España"
