id,source,reply_settings,created_at,lang,possibly_sensitive,public_metrics,text,conversation_id,author_id,context_annotations,entities,in_reply_to_user_id,referenced_tweets,attachments,geo
1521289263274360832,Twitter for Android,everyone,2022-05-03T00:43:19.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle (ES)  #116 6/6

⬜⬜🟨⬜🟨
⬜🟩🟨🟩⬜
🟩🟩⬜🟩⬜
🟩🟩⬜🟩⬜
🟩⬜⬜🟩🟨
🟩🟩🟩🟩🟩
 https://t.co/F7JLfjDrQT",1521289263274360832,1616445793,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/F7JLfjDrQT', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1521289242592301057,Twitter for iPhone,everyone,2022-05-03T00:43:14.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle Tildes #63 3/6

🟩⬜⬜⬜⬜⬜
🟩⬜⬜⬜⬜⬜
🟩🟩🟩🟩🟩🟩
 https://t.co/txnlEkgHbB",1521245349599457291,528847265,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'urls': [{'start': 45, 'end': 68, 'url': 'https://t.co/txnlEkgHbB', 'expanded_url': 'https://wordle.danielfrg.com/tildes/index.html', 'display_url': 'wordle.danielfrg.com/tildes/index.h…'}]}",528847265,"[{'type': 'replied_to', 'id': '1521288606249365504'}]",,
1521289234304614400,Twitter Web App,everyone,2022-05-03T00:43:12.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Wordle 318 5/6

⬜🟩⬜⬜⬜
⬜🟩⬜🟨⬜
🟨🟩⬜🟨⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",1521289234304614400,1049478597117796352,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1521289215601954819,Twitter Web App,everyone,2022-05-03T00:43:07.000Z,ru,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Игра Wordle (RU) День #117 2/6

🟨⬜🟩⬜⬜
🟩🟩🟩🟩🟩

#вордли 

Отгадайте слово на  https://t.co/X4jB2Xnpzy",1521289215601954819,225897801,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'urls': [{'start': 75, 'end': 98, 'url': 'https://t.co/X4jB2Xnpzy', 'expanded_url': 'https://wordle.belousov.one', 'display_url': 'wordle.belousov.one'}], 'hashtags': [{'start': 45, 'end': 52, 'tag': 'вордли'}]}",,,,
1521289189660270596,Twitter for iPhone,everyone,2022-05-03T00:43:01.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 317 3/6*

⬛⬛⬛⬛🟨
🟨⬛⬛⬛🟩
🟩🟩🟩🟩🟩

😉",1521289189660270596,2784804437,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1521289162728509440,Twitter Web App,everyone,2022-05-03T00:42:55.000Z,ja,True,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","ポケモンWordle 4/10

⬛⬛⬛⬛⬛
⬛⬛⬛⬛🟩
🟩⬛⬛⬛⬛
🟩🟩🟩🟩🟩

https://t.co/QTc3Isk000
 #ポケモンWordle",1521289162728509440,1187654792585175040,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597218340864', 'name': 'Video Games'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '10045599546', 'name': 'Pokémon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable. **NOTE: Annotations redirected to domain 130 ONLY on 8/7/18.'}}]","{'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/QTc3Isk000', 'expanded_url': 'https://wordle.mega-yadoran.jp/', 'display_url': 'wordle.mega-yadoran.jp', 'images': [{'url': 'https://pbs.twimg.com/news_img/1520627181159784450/oEzApr9k?format=png&name=orig', 'width': 200, 'height': 200}, {'url': 'https://pbs.twimg.com/news_img/1520627181159784450/oEzApr9k?format=png&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'ポケモンWordle', 'description': 'ポケモンWordle (ポケモンワードル)は単語当てゲーム「Wordle」のポケモン版。１０回のチャレンジでポケモンの名前を当てよう！', 'unwound_url': 'https://wordle.mega-yadoran.jp/'}], 'hashtags': [{'start': 67, 'end': 78, 'tag': 'ポケモンWordle'}]}",,,,
1521289133829722112,Twitter for Android,everyone,2022-05-03T00:42:48.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","Wordle 318 4/6

⬜⬜🟨🟩⬜
🟨⬜⬜🟩⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",1521289133829722112,58963568,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1521289132835811330,Twitter for Android,everyone,2022-05-03T00:42:48.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 318 4/6

🟨⬜🟨⬜🟩
⬜🟩⬜🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",1521289132835811330,878247726433087488,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1521289123939913730,Twitter for Android,everyone,2022-05-03T00:42:45.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 318 4/6

⬛🟩🟨⬛⬛
⬛⬛⬛⬛🟨
⬛🟨⬛⬛🟩
🟩🟩🟩🟩🟩",1521289123939913730,3383606473,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1521289117975588864,Twitter for Android,everyone,2022-05-03T00:42:44.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle Junior 82 7/7

⬛⬛🟨🟨
⬛🟩⬛🟩
⬛⬛⬛⬛
⬛⬛⬛⬛
⬛⬛⬛⬛
⬛🟩⬛🟩
🟩🟩🟩🟩",1521289117975588864,1189213958919483392,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
