id,protected,verified,description,name,pinned_tweet_id,url,username,profile_image_url,public_metrics,entities,location
60045419,False,False,固定ツイートご確認ください◆BL/GL/ヘテロCP“だから”好きというより「その二人」の関係に萌えるタイプの昭和生まれヲタ ◆藤本有紀 ◆ポムポムプリン ◆LUNA SEA/dropz ◆ゆるくFEH/トロパズ ◆転売厨滅せよ,菅原ひよこ,9.955011711743959e+17,,sugahiyo,https://pbs.twimg.com/profile_images/1012132449768202240/FdpH_UYg_normal.jpg,"{'followers_count': 672, 'following_count': 287, 'tweet_count': 268624, 'listed_count': 61}",,オフトゥン
134910735,False,False,Escritora. Amo la poesía y sus consecuencias.,Moni Munilla,,,monimunilla,https://pbs.twimg.com/profile_images/693385659910873088/QNV_az1p_normal.jpg,"{'followers_count': 3498, 'following_count': 1209, 'tweet_count': 49257, 'listed_count': 38}",,Corrientes
1128972244615684096,False,False,,Judith Rees,,,JudithRees10,https://pbs.twimg.com/profile_images/1500071509100052483/wwxYmwHw_normal.jpg,"{'followers_count': 111, 'following_count': 284, 'tweet_count': 1786, 'listed_count': 0}",,
161132368,False,False,"Online Security Expert, https://t.co/fk1NcLyb5u, Ex-Klarna",Yigit Demir,8.213819170230764e+17,,yiitdemir,https://pbs.twimg.com/profile_images/822926344153612288/0O3V_ahp_normal.jpg,"{'followers_count': 40, 'following_count': 135, 'tweet_count': 280, 'listed_count': 0}","{'description': {'urls': [{'start': 24, 'end': 47, 'url': 'https://t.co/fk1NcLyb5u', 'expanded_url': 'http://Booking.com', 'display_url': 'Booking.com'}]}}","Amsterdam, The Netherlands"
954766902332743680,False,False,Hoosier. Science Person. Demon of Azarath.,Angry Raven,1.389013179683025e+18,,AngriestRaven,https://pbs.twimg.com/profile_images/954776587643359233/GxGQRxVd_normal.jpg,"{'followers_count': 110, 'following_count': 1100, 'tweet_count': 6425, 'listed_count': 0}",,Titans Tower
1630827151,False,False,Niles Township Federation of Teachers and Support Staff AFT/IFT,NTFTSS,,,NTFT219,https://pbs.twimg.com/profile_images/971700447516872704/Fz8kgzmk_normal.jpg,"{'followers_count': 409, 'following_count': 375, 'tweet_count': 3619, 'listed_count': 4}",,"Skokie, IL"
18499169,False,False,,fishymcdonk,,,fishymcdonk,https://pbs.twimg.com/profile_images/293944824/cart_normal.JPG,"{'followers_count': 2, 'following_count': 161, 'tweet_count': 1805, 'listed_count': 0}",,Ottawa
206956453,False,False,"if you are looking for gun-related content, this isn’t the place to look. If I held elected office, I believe the NRA would assign me a letter grade of D or F.",Poker Sniper,,,pokersniper1972,https://pbs.twimg.com/profile_images/378800000499825772/e6dab5762dc7f0280d2b527c5b9723a9_normal.jpeg,"{'followers_count': 327, 'following_count': 293, 'tweet_count': 7412, 'listed_count': 6}",,Minnesota
26305100,False,False,sometimes it's good to err on the side of yes,Blair Johnston,,,Dee_Pin,https://pbs.twimg.com/profile_images/878696021102141440/PHoQHDWi_normal.jpg,"{'followers_count': 243, 'following_count': 789, 'tweet_count': 2415, 'listed_count': 0}",,Dundee
70140513,False,False,"Teacher/Leader/Scientist/Bow Tie wearer/Spouse/Dad. I help others understand complicated things, often about science, but not always.",Daniel Goduti,,https://t.co/ibwCAdrtLS,danielgoduti,https://pbs.twimg.com/profile_images/1449542581633880068/K8J128j8_normal.jpg,"{'followers_count': 757, 'following_count': 1482, 'tweet_count': 5090, 'listed_count': 25}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ibwCAdrtLS', 'expanded_url': 'http://www.linkedin.com/in/danielgoduti/', 'display_url': 'linkedin.com/in/danielgodut…'}]}}",
