id,public_metrics,username,description,url,verified,profile_image_url,name,location,protected,entities,pinned_tweet_id
2902276910,"{'followers_count': 568, 'following_count': 798, 'tweet_count': 176937, 'listed_count': 0}",napgreen,ニコニコ印の元気いっぱいギャルちゃん💖🦄🌈🎀😸🍓💐✨,,False,https://pbs.twimg.com/profile_images/1428755159773958146/nV9sRIQY_normal.jpg,🌺💖🌈なお🌈💖🌺,H・L・L・S・P・D,False,,
30477842,"{'followers_count': 101, 'following_count': 114, 'tweet_count': 11598, 'listed_count': 8}",dull_life,you & me together//stars forever,,False,https://pbs.twimg.com/profile_images/1158538771853389824/zo_SNLlz_normal.jpg,Alicia Zacher,MPLS,False,,
875922926,"{'followers_count': 171, 'following_count': 178, 'tweet_count': 38362, 'listed_count': 4}",n_tsukija,アイマス(主にデレマス)、艦これを中心に、色々な好きを呟くアカウント。🍩P/ブルネイ泊地/J💎/芸人(金属バット/Dr.ハインリッヒ),,False,https://pbs.twimg.com/profile_images/454723440344186881/f9PukQ1C_normal.jpeg,つきじゃ,,False,,1.3000772812058747e+18
80657869,"{'followers_count': 804, 'following_count': 700, 'tweet_count': 69480, 'listed_count': 28}",judgeyourmuva,Your favorite lesbian who loves plants!,,False,https://pbs.twimg.com/profile_images/1416431527639007235/K7pzp93D_normal.jpg,Kelly Rowland’s Black See Through Dress,,False,,1.1530120593633034e+18
37337334,"{'followers_count': 24411, 'following_count': 2187, 'tweet_count': 32930, 'listed_count': 624}",ToddStashwick,"Actor: 12 Monkeys, The Riches, SPN. Writer: @Forspoken (PS5) Mystic Libations. DM, Half-Elf Sorcerer. Non-Cynic Scoundrel (he/him) https://t.co/BA0bkxNGpv",https://t.co/TNlvzqxsNq,True,https://pbs.twimg.com/profile_images/1477832776124547074/Lh66THuF_normal.jpg,Todd Stashwick,Los Angeles via Corellia,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/TNlvzqxsNq', 'expanded_url': 'http://www.thenerdcircus.com', 'display_url': 'thenerdcircus.com'}]}, 'description': {'urls': [{'start': 131, 'end': 154, 'url': 'https://t.co/BA0bkxNGpv', 'expanded_url': 'http://linktr.ee/tstashwick', 'display_url': 'linktr.ee/tstashwick'}], 'mentions': [{'start': 44, 'end': 54, 'username': 'Forspoken'}]}}",1.2337948516294943e+18
86707838,"{'followers_count': 231, 'following_count': 487, 'tweet_count': 26344, 'listed_count': 15}",PastelLight,しがないサックス吹きでございます。,,False,https://pbs.twimg.com/profile_images/3575088090/a7d86cc8962e8385a152c4187d347bfe_normal.png,悠々,横浜,False,,
49710522,"{'followers_count': 123, 'following_count': 300, 'tweet_count': 30302, 'listed_count': 0}",npcap,オ、ナイスデザイン,https://t.co/AMq5SKsCgk,False,https://pbs.twimg.com/profile_images/1414609112088727552/R9Yxrhk9_normal.jpg,KT,あなたの後ろ,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/AMq5SKsCgk', 'expanded_url': 'http://amzn.to/OGcU1X', 'display_url': 'amzn.to/OGcU1X'}]}}",
102464462,"{'followers_count': 1805, 'following_count': 1080, 'tweet_count': 61719, 'listed_count': 12}",petronious,"Andy Lister - Vet - There are 3 sorts of ""folk"" in life. Yorkshire folk. Those that aspire to be Yorkshire folk n folk with no ambition. Babu to Mila",https://t.co/qDZrXhUJRG,False,https://pbs.twimg.com/profile_images/1066783046517567489/-Q5tCkEi_normal.jpg,Tanzanian Terrier 🇬🇧🇹🇿🇺🇦,UK/Yorkshire-Tanzania/Mwanza,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/qDZrXhUJRG', 'expanded_url': 'http://share.octopus.energy/silk-wolf-17', 'display_url': 'share.octopus.energy/silk-wolf-17'}]}}",5.908907704979866e+17
207249375,"{'followers_count': 101, 'following_count': 112, 'tweet_count': 41585, 'listed_count': 0}",quubann,アニメ 特撮 プラモ 寝落ち,,False,https://pbs.twimg.com/profile_images/875571331315650560/WwV9-2Qo_normal.jpg,qban,,False,,
836946846,"{'followers_count': 456, 'following_count': 632, 'tweet_count': 23490, 'listed_count': 15}",NatunoSouya,(　³△³  ).｡o,https://t.co/RIpuo2zsIG,False,https://pbs.twimg.com/profile_images/1236301588710342656/GQivsw24_normal.jpg,聡也,しちゅうさんファンクラブ,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/RIpuo2zsIG', 'expanded_url': 'http://pixiv.net/member.php?id=4586760', 'display_url': 'pixiv.net/member.php?id=…'}]}}",1.2492568641239982e+18
2730488082,"{'followers_count': 62, 'following_count': 101, 'tweet_count': 2029, 'listed_count': 1}",Solaskyle,Just keep swimming,,False,https://pbs.twimg.com/profile_images/1519758829981868032/qCpm6mmA_normal.jpg,Kurumi,,False,,1.187201208827568e+18
90304019,"{'followers_count': 76, 'following_count': 72, 'tweet_count': 85035, 'listed_count': 8}",emmmmmu,とりあえず５kg減らして、それから考えよう,,False,https://pbs.twimg.com/profile_images/557886262682460160/e7NhkkVo_normal.jpeg,emu,オオサッカ,False,,
219627877,"{'followers_count': 523, 'following_count': 906, 'tweet_count': 309573, 'listed_count': 33}",EH500_Kintarou,🗾🏞️🛤️🚄🚞♨🍣🍖🎼🎹🖥️📱📸💡🔧⚙️📺🗂️(152TB),https://t.co/4z0utfbLUO,False,https://pbs.twimg.com/profile_images/1355826488658993156/ce8heeHH_normal.jpg,EH500金太郎 のんすとっぷ,,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/4z0utfbLUO', 'expanded_url': 'https://days-of-programming.blogspot.com/', 'display_url': 'days-of-programming.blogspot.com'}]}}",1.3184951917711442e+18
96357412,"{'followers_count': 341, 'following_count': 454, 'tweet_count': 30729, 'listed_count': 13}",tentendo,コンテンツや知財、科学の歴史などをフォローする目的でついったーを始めましたが、最近はほとんど相撲と朝ドラと大喜利がもっぱらです。満期退学研究家見習（自称）,https://t.co/chwIE7OtB4,False,https://pbs.twimg.com/profile_images/1422553974541111303/MyKnmYIz_normal.jpg,おてん,メガネを求めて福岡へ,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/chwIE7OtB4', 'expanded_url': 'http://twilog.org/tentendo', 'display_url': 'twilog.org/tentendo'}]}}",1.1397848334444052e+18
1482310549082087424,"{'followers_count': 8, 'following_count': 41, 'tweet_count': 302, 'listed_count': 0}",yawobikuni,,,False,https://pbs.twimg.com/profile_images/1482310757614485504/K3m6uN6K_normal.jpg,yawobikuni,,False,,
1366440755733032960,"{'followers_count': 0, 'following_count': 30, 'tweet_count': 923, 'listed_count': 0}",subway_transfer,,,False,https://pbs.twimg.com/profile_images/1366442488370634754/nPy390WT_normal.jpg,subway.transfer,,False,,
220908705,"{'followers_count': 25, 'following_count': 24, 'tweet_count': 3067, 'listed_count': 0}",yopparaijinsei,全身水色なのは清潔な証,,False,https://pbs.twimg.com/profile_images/2178386657/access_normal.gif,いくらでものめる,東京都日野市,False,,
2686937037,"{'followers_count': 74, 'following_count': 539, 'tweet_count': 453, 'listed_count': 1}",Steve_Lench,𝐿𝑒𝒶𝓋𝒾𝓃𝑔 𝓃𝑜 𝒻𝑜𝑜𝓉𝓅𝓇𝒾𝓃𝓉𝓈.,https://t.co/ZYpUSU94YK,False,https://pbs.twimg.com/profile_images/1115538446536388608/qegy-pZG_normal.png,🆂🆃🅴🆅🅴 🅻🅴🅽🅲🅷,United Kingdom,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ZYpUSU94YK', 'expanded_url': 'http://flirtgroup.co.uk', 'display_url': 'flirtgroup.co.uk'}]}}",
148575683,"{'followers_count': 447, 'following_count': 650, 'tweet_count': 110149, 'listed_count': 0}",mirrorfuz,鏡の国のふずにゃん,https://t.co/o5ZJIkQeX5,False,https://pbs.twimg.com/profile_images/875572488431747072/oEvsLGcc_normal.jpg,ふずにゃん,福島県,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/o5ZJIkQeX5', 'expanded_url': 'http://ereter.net/iidxplayerdata/33866352/', 'display_url': 'ereter.net/iidxplayerdata…'}]}}",1.1622472464583967e+18
