id,description,url,verified,profile_image_url,location,username,name,protected,public_metrics,entities,pinned_tweet_id
1023596917031354368,I am no longer down bad,https://t.co/z8HrTV4onj,False,https://pbs.twimg.com/profile_images/1497391384369770496/PFAIQJuA_normal.jpg,,ColeSlawOW,Cole Hallmark,False,"{'followers_count': 9, 'following_count': 59, 'tweet_count': 238, 'listed_count': 0}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/z8HrTV4onj', 'expanded_url': 'http://twitch.tv/coleslaw_ow', 'display_url': 'twitch.tv/coleslaw_ow'}]}}",
484381012,"Star Wars geek!

A diamond chain around a violent brain

Lazy lesbian licker of luscious lollipops | Be the reason why your local forest is haunted | THAT witch",,False,https://pbs.twimg.com/profile_images/1521238755025338369/d8jNP6cq_normal.jpg,Sanctuary of Sin,AryaDarkStark,Arya Darkstark,False,"{'followers_count': 2005, 'following_count': 2035, 'tweet_count': 88758, 'listed_count': 11}",,9.37845962785153e+17
601594937,"Introvert NY Giants fan Sneaker Aficionado Chicago Bulls fan part time asshole according to some, but y'all love me.",,False,https://pbs.twimg.com/profile_images/1365726775377027072/yKRCHfFD_normal.jpg,In this world,QuietAssassin7,Booooom!!!,False,"{'followers_count': 63, 'following_count': 471, 'tweet_count': 5319, 'listed_count': 2}",,
1510997867476963328,Maverick,,False,https://pbs.twimg.com/profile_images/1510998835778228230/nESX0FyR_normal.jpg,,PeteMitchell158,PeteMitchell158,False,"{'followers_count': 74, 'following_count': 183, 'tweet_count': 1128, 'listed_count': 1}",,1.5128244357866332e+18
10595802,Farmacéutico. IRN: Intervención Profesional del Farmacéutico + Registro en el Sistema de Salud + Notificación al Prescriptor/Profesional Sanitario/Paciente.,https://t.co/2HzdYT7C3I,False,https://pbs.twimg.com/profile_images/1326269620412624901/bT8W0ZJC_normal.jpg,,jdcarballeira,J.D. Carballeira,False,"{'followers_count': 2528, 'following_count': 886, 'tweet_count': 32223, 'listed_count': 161}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/2HzdYT7C3I', 'expanded_url': 'https://scholar.google.es/citations?user=7D5SQFsAAAAJ&hl=es', 'display_url': 'scholar.google.es/citations?user…'}]}}",1.4529401336202322e+18
902243921346138112,,,False,https://pbs.twimg.com/profile_images/1431992192592195588/HYT5DP6c_normal.jpg,"Montréal, Québec",BJNM_00,TSN,False,"{'followers_count': 99, 'following_count': 156, 'tweet_count': 520, 'listed_count': 2}",,
66231180,"de Maracay/ mi patria 🇻🇪siempre en mi ❤️/ los amores de mi vida: mis viejos, el periodismo, los gatos y el café...",,False,https://pbs.twimg.com/profile_images/1404860327385350146/-x5b5knG_normal.jpg,"ÜT: 10.227398,-67.559924",Gabyvald,Gabriela Valdez Fernández,False,"{'followers_count': 878, 'following_count': 1145, 'tweet_count': 23893, 'listed_count': 9}",,
468705257,shake n bake,,False,https://pbs.twimg.com/profile_images/809510297308397568/eHmKHYix_normal.jpg,Sverige,igge4,igge,False,"{'followers_count': 132, 'following_count': 419, 'tweet_count': 3628, 'listed_count': 0}",,
1053606694985650176,En esta cuenta se obedecen las leyes de LA TERMODÍNAMICA!!!,https://t.co/rqRGhqpoU9,False,https://pbs.twimg.com/profile_images/1269613987919998977/zswMphW__normal.jpg,"Valencia, España",porradodefumos,Sézar,False,"{'followers_count': 83, 'following_count': 951, 'tweet_count': 4005, 'listed_count': 1}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/rqRGhqpoU9', 'expanded_url': 'https://www.youtube.com/watch?v=NW26qCT2EdY', 'display_url': 'youtube.com/watch?v=NW26qC…'}]}}",1.2172268851780567e+18
4023926113,"当方イエベ
🍺❌　👥❌　🚬🆗",https://t.co/YQ0Am5RjbC,False,https://pbs.twimg.com/profile_images/1392774807096233987/qXkYYuCP_normal.jpg,,m_k_i_n_,小バエスプレー,False,"{'followers_count': 329, 'following_count': 266, 'tweet_count': 21664, 'listed_count': 10}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/YQ0Am5RjbC', 'expanded_url': 'https://makeinubot.hatenablog.com/', 'display_url': 'makeinubot.hatenablog.com'}]}}",1.365241300597891e+18
365421819,"＿ﾉ乙(､ﾝ､)_ 웹소 보며 게임하는 중. 약스포 주의. 내스급. 데못죽. 반복되던 도시의 지휘사. 신들이 사랑하는 땅의 모험가. 느긋하게 덕질 합니다, 달달성애자. 일상계=본계. 가끔 썰, 언젠가는 연성.",,False,https://pbs.twimg.com/profile_images/1176880383326973954/B-itAFcS_normal.jpg,오스민 자요?,yIko3,이코 ⍩⃝💫,False,"{'followers_count': 230, 'following_count': 165, 'tweet_count': 246100, 'listed_count': 0}",,1.5184715830476431e+18
1711620062,tiwtter,,False,https://pbs.twimg.com/profile_images/1186546998129897472/McN-WM-f_normal.jpg,,PistiTR,Armando Rodríguez 🔻 🎗️,False,"{'followers_count': 105, 'following_count': 25, 'tweet_count': 63769, 'listed_count': 1}",,1.2889552563830784e+18
1213731602,US Government Retiree and Proud USO Volunteer,https://t.co/o9Ie79lpXY,False,https://pbs.twimg.com/profile_images/1422918244118245381/Q7ews1aR_normal.jpg,"Greensboro, NC",DonSeltzer,Donald Seltzer,False,"{'followers_count': 1, 'following_count': 32, 'tweet_count': 449, 'listed_count': 0}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/o9Ie79lpXY', 'expanded_url': 'http://www.alkasoft.com', 'display_url': 'alkasoft.com'}]}}",
375759371,Staunch remainer.,,False,https://pbs.twimg.com/profile_images/1251821907164516355/vCIkvkiB_normal.jpg,Glasgow,steventgray,Steven Gray 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇪🇺🇺🇦,False,"{'followers_count': 217, 'following_count': 314, 'tweet_count': 6033, 'listed_count': 26}",,
1276279170,"It is only with the heart that one can see rightly, what is essential is invisible to the eye. 🌊 🇺🇸 retiredn 🇨🇦 3x💉ID: S.B./Sentient Being",,False,https://pbs.twimg.com/profile_images/1498904143934758913/ZjhKOeZm_normal.jpg,"Ontario, Canada",pml_1025,Phil,False,"{'followers_count': 1209, 'following_count': 2881, 'tweet_count': 13563, 'listed_count': 1}",,1.0494227073794253e+18
1023587702237749248,"@UFJSchool Class of 23, currently @OTB__Podcast @atrium_magazine formerly @WUFTNews",,False,https://pbs.twimg.com/profile_images/1499215138993459203/6IvRnFc4_normal.jpg,,ConnorOBryan3,Connor 🇺🇦💙,False,"{'followers_count': 127, 'following_count': 249, 'tweet_count': 2324, 'listed_count': 0}","{'description': {'mentions': [{'start': 0, 'end': 10, 'username': 'UFJSchool'}, {'start': 34, 'end': 47, 'username': 'OTB__Podcast'}, {'start': 48, 'end': 64, 'username': 'atrium_magazine'}, {'start': 74, 'end': 83, 'username': 'WUFTNews'}]}}",1.211446115368915e+18
206920830,💀TVXQ — JYJ ジュンシム - Changmin Jaejoong 2U ✨ Yuta—NCT 💀From Chile🇨🇱 ✨97 line 💀Estudiante de Animación Digital🔥,,False,https://pbs.twimg.com/profile_images/1510807617605619721/29cRIrKk_normal.jpg,,JMxYJ_11,💀Mr.Jay💀,False,"{'followers_count': 480, 'following_count': 423, 'tweet_count': 24003, 'listed_count': 1}",,1.5028596350903337e+18
2628857577,yeppi yeppi enthusiast,,False,https://pbs.twimg.com/profile_images/1521598006973370371/W3KuBkFe_normal.jpg,she/they | 19,JlHYOHlVE,coochie dumpling,False,"{'followers_count': 1614, 'following_count': 309, 'tweet_count': 44472, 'listed_count': 7}",,
1390467290869731328,fuck this gay earth,,False,https://pbs.twimg.com/profile_images/1520183917873139712/yIuPQwQo_normal.jpg,Gay Earth,coolguyirl,yo mama (nick),False,"{'followers_count': 21, 'following_count': 138, 'tweet_count': 999, 'listed_count': 0}",,1.508464863789699e+18
48528862,Boulder County Commissioner. Former State Representative House District 13.,,False,https://pbs.twimg.com/profile_images/1374142466090237954/1dnfV9vo_normal.jpg,,CommClaireLevy,Claire Levy,False,"{'followers_count': 1299, 'following_count': 249, 'tweet_count': 466, 'listed_count': 45}",,
169315918,"Siempre habla de frente, actuemos no solo critiquemos!",,False,https://pbs.twimg.com/profile_images/869272144965971968/1fUoJCxH_normal.jpg,"San Pedro Sula, Honduras",la_bala06,Balada,False,"{'followers_count': 219, 'following_count': 420, 'tweet_count': 22213, 'listed_count': 3}",,1.424472878582571e+18
1455749150021095424,"Hyderabadi, amateur writer, book lover, finds cooking therapeutic. looking  to connect moms grappling with child loss, and also moms of kids having ADD/ADHD",,False,https://pbs.twimg.com/profile_images/1521801602411028480/1KqHpWkY_normal.jpg,,hyderabadibeats,deepa kulkarni,False,"{'followers_count': 33, 'following_count': 91, 'tweet_count': 632, 'listed_count': 0}",,
421394634,just watch something and you’ll be ok,,False,https://pbs.twimg.com/profile_images/1516566809591353351/chQcqEej_normal.jpg,,ranaaahmeedd,Rana,False,"{'followers_count': 1256, 'following_count': 583, 'tweet_count': 1580, 'listed_count': 0}",,
3401863169,at Harry’s house | blm. acab. | she/her,,False,https://pbs.twimg.com/profile_images/1498574469438259205/QYYlj_z9_normal.jpg,NJ | 21+ | minors dnf,tbslasitwas,tam. 🛋🍋🪴🪩,False,"{'followers_count': 2670, 'following_count': 291, 'tweet_count': 273931, 'listed_count': 44}",,1.1984871293677527e+18
1067932791688650752,"they/them lesbian, 18, formerly a rodeo clown now I make funny little posts about whatever I like",,False,https://pbs.twimg.com/profile_images/1466259372552691718/si9coAb6_normal.jpg,wouldn't you like to know,grave_robbing,grave,False,"{'followers_count': 335, 'following_count': 482, 'tweet_count': 36379, 'listed_count': 7}",,1.492560705928708e+18
1905529813,"Klassischer Philologe, Liebhaber von Sprache und allem Ernsten und Unernsten, das man damit treiben kann. Tummelt sich hier rein privat.",https://t.co/LIC0oWuHNj,False,https://pbs.twimg.com/profile_images/653599052899205120/grQPlv-G_normal.jpg,Mannheim/Heidelberg,GerritKloss,Gerrit Kloss,False,"{'followers_count': 97, 'following_count': 146, 'tweet_count': 1132, 'listed_count': 1}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/LIC0oWuHNj', 'expanded_url': 'http://phrontisterionblog.wordpress.com', 'display_url': 'phrontisterionblog.wordpress.com'}]}}",
