id,protected,verified,description,name,url,username,profile_image_url,public_metrics,location,entities,pinned_tweet_id
1.3759126842695475e+18,False,False,Every day the same day for two years.,COVID19: The days we lost,,lockdownfatigue,https://pbs.twimg.com/profile_images/1376037343161880576/TuTd2GCn_normal.jpg,"{'followers_count': 5, 'following_count': 6, 'tweet_count': 349, 'listed_count': 0}","Genova, Liguria",,
21918932.0,False,False,,Drew Brees is the GOAT,,morggo,https://pbs.twimg.com/profile_images/3059727526/fb5a257a7f8649485e81cb3ff3af3c29_normal.jpeg,"{'followers_count': 78, 'following_count': 367, 'tweet_count': 1982, 'listed_count': 1}","Montréal, QC",,
976242648.0,False,False,,Stephen Randall,,straffegast,https://pbs.twimg.com/profile_images/1163932485950091265/LhWUi-Hg_normal.jpg,"{'followers_count': 2932, 'following_count': 2885, 'tweet_count': 37267, 'listed_count': 1}",,,1.2365706372311654e+18
610793211.0,False,False,Salford,Matty Corbett,,MatthewCorbett5,https://pbs.twimg.com/profile_images/1458895405383565314/KNXz16ap_normal.jpg,"{'followers_count': 1031, 'following_count': 1712, 'tweet_count': 31259, 'listed_count': 2}",INSTAGRAM- matthewcorbett15,,1.472558569778303e+18
172323781.0,False,False,ダムカードハンター見習い / ［猫様］［犬様］と暮らしています。,🐾🐈テツ🐕🐾,,RINRINEX,https://pbs.twimg.com/profile_images/811582149115539456/3Xx5mrLy_normal.jpg,"{'followers_count': 129, 'following_count': 337, 'tweet_count': 35940, 'listed_count': 19}",新潟県,,
20220806.0,False,False,,spicky_vencer,,spicky_vencer,https://pbs.twimg.com/profile_images/906278662810558467/248IE0Hc_normal.jpg,"{'followers_count': 62, 'following_count': 359, 'tweet_count': 96, 'listed_count': 0}",,,
1.193365485066367e+18,False,False,,kaya,,korosunosensei,https://pbs.twimg.com/profile_images/1517297607655276546/alUcMwJD_normal.jpg,"{'followers_count': 264, 'following_count': 255, 'tweet_count': 17419, 'listed_count': 0}",21 she/her,,1.5158650832215777e+18
21269875.0,False,False,ほしいもの→https://t.co/3ukZZ9QkAv ご依頼はwebサイトに記載の連絡先へ,Fu/ふー,https://t.co/enb2njYKre,bgvillea,https://pbs.twimg.com/profile_images/1377518471320268800/1gkddxYa_normal.jpg,"{'followers_count': 947, 'following_count': 601, 'tweet_count': 49053, 'listed_count': 68}","Tokyo, Japan","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/enb2njYKre', 'expanded_url': 'https://ktgazer.org', 'display_url': 'ktgazer.org'}]}, 'description': {'urls': [{'start': 6, 'end': 29, 'url': 'https://t.co/3ukZZ9QkAv', 'expanded_url': 'https://www.amazon.co.jp/registry/wishlist/3AXA1E3C1OT9B/ref=cm_sw_r_tw_ws_x_Av9hzbP0H0CFD', 'display_url': 'amazon.co.jp/registry/wishl…'}]}}",1.3717726774808044e+18
234402693.0,False,False,,笛田苗,,fuedanae,https://pbs.twimg.com/profile_images/378800000048338419/a8d9a406312a352889c2e13a20a4f8da_normal.jpeg,"{'followers_count': 34, 'following_count': 117, 'tweet_count': 693, 'listed_count': 0}",雷のとおりみち,,
846786308.0,False,False,,Matthias Hagen,,Derekvari,https://pbs.twimg.com/profile_images/1401185812960714754/Y8YSUNHz_normal.jpg,"{'followers_count': 1, 'following_count': 111, 'tweet_count': 137, 'listed_count': 0}","Munich, Germany",,
