id,source,entities,reply_settings,created_at,lang,possibly_sensitive,public_metrics,text,conversation_id,author_id,context_annotations,in_reply_to_user_id,referenced_tweets,geo,attachments
1522249531471327232,Twitter Web App,,everyone,2022-05-05T16:19:04.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 321 4/6

⬜⬜🟨🟨⬜
🟨🟨⬜⬜⬜
🟩⬜🟨🟨🟩
🟩🟩🟩🟩🟩",1522249531471327232,62462649,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1522249526542671873,Twitter for Android,,everyone,2022-05-05T16:19:03.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Too many possibilities

Wordle 320 X/6

⬛⬛⬛🟩⬛
⬛🟩⬛🟨⬛
⬛🟩🟨🟩⬛
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩",1522249526542671873,1223549896990449665,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1522249520343658502,Twitter for iPhone,,everyone,2022-05-05T16:19:02.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 320 6/6

⬛⬛⬛⬛⬛
⬛🟨⬛⬛⬛
🟨🟩⬛🟩⬛
⬛🟩🟨🟩⬛
🟨🟩⬛🟩🟩
🟩🟩🟩🟩🟩",1522249520343658502,909106819,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1522249517827076099,Twitter for iPhone,,everyone,2022-05-05T16:19:01.000Z,es,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Hoy si me sentí 🤓 Wordle 320 3/6

⬜🟨⬜🟩⬜
🟨⬜🟩🟩⬜
🟩🟩🟩🟩🟩",1522249517827076099,56268358,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1522249516480536582,Twitter for iPhone,,everyone,2022-05-05T16:19:01.000Z,ja,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 321 4/6

🟩vs🟨の国取りゲームみたいだなって思ったw

🟩⬜🟨🟨⬜
🟩🟨🟨🟨⬜
🟩🟩⬜🟨🟨
🟩🟩🟩🟩🟩",1522249516480536582,1428034963656482816,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1522249514182057995,Twitter Web App,,everyone,2022-05-05T16:19:00.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Wordle 320 3/6

🟩🟨⬜🟨⬜
🟩⬜⬜🟩🟩
🟩🟩🟩🟩🟩",1522249514182057995,751486645,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1522249512064061445,Twitter for Android,"{'mentions': [{'start': 0, 'end': 9, 'username': 'nosprawl', 'id': '172913517'}]}",everyone,2022-05-05T16:19:00.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","@nosprawl Wordle 320 4/6

⬜⬜⬜🟩⬜
⬜⬜🟨🟨⬜
🟨🟩🟨🟩⬜
🟩🟩🟩🟩🟩",1522246036332466177,1498884390159634434,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",172913517,"[{'type': 'replied_to', 'id': '1522246036332466177'}]",,
1522249501351702529,Twitter for Android,,everyone,2022-05-05T16:18:57.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","D'oh. Wordle 320 4/6

⬜🟩⬜⬜⬜
⬜🟩⬜⬜🟩
🟩🟩⬜🟩🟩
🟩🟩🟩🟩🟩",1522249501351702529,767022185965694976,"[{'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Entity Service related Events domain'}, 'entity': {'id': '1517623051860414465', 'name': 'World Environment Day'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1522249501209423872,Twitter for Android,,everyone,2022-05-05T16:18:57.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 321 4/6

⬜⬜⬜⬜🟩
⬜⬜🟨⬜🟩
🟩⬜🟨🟨🟩
🟩🟩🟩🟩🟩",1522249501209423872,163673584,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1522249495664218113,Twitter for iPad,,everyone,2022-05-05T16:18:56.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","♌️…

Canuckle 85 3/6

🟨⬜⬜⬜⬜
🟨🟥⬜🟥⬜
🟥🟥🟥🟥🟥

Wordle 320 4/6

⬜🟩⬜🟨🟨
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩",1522249495664218113,787783268,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
