id,created_at,in_reply_to_user_id,source,possibly_sensitive,lang,public_metrics,text,conversation_id,reply_settings,referenced_tweets,author_id,context_annotations,entities,geo,attachments
1520857382955401216,2022-05-01T20:07:10.000Z,,TweetDeck,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","its not my day...

Wordle 316 X/6

⬜⬜⬜⬜🟩
⬜⬜⬜🟩🟩
⬜⬜⬜🟩🟩
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
⬜🟩🟩🟩🟩",1520857382955401216,everyone,,847712588204879872,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,
1520857381902512128,2022-05-01T20:07:10.000Z,,Twitter for Android,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 317 3/6

⬜⬜🟨⬜🟩
🟨⬜🟨🟨🟩
🟩🟩🟩🟩🟩",1520857381902512128,everyone,,130729573,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,
1520857372268314625,2022-05-01T20:07:08.000Z,,Twitter for Android,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 316 4/6

⬜⬜⬜⬜⬜
⬜⬜🟨🟨⬜
🟩⬜🟨🟨🟨
🟩🟩🟩🟩🟩",1520857372268314625,everyone,,733475743712354304,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,
1520857369739030528,2022-05-01T20:07:07.000Z,921588557772234752,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","Wordle 317 2/6

🟩⬜🟩🟩⬜
🟩🟩🟩🟩🟩",1507853606585786373,everyone,"[{'type': 'replied_to', 'id': '1520448583354306561'}]",921588557772234752,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,
1520857357718200320,2022-05-01T20:07:04.000Z,,Twitter Web App,False,ja,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","ポケモンWordle 3/10

⬛⬛⬛⬛⬛
⬛⬛⬛🟩⬛
🟩🟩🟩🟩🟩

https://t.co/wh62fetssB
 #ポケモンWordle",1520857357718200320,everyone,,119266363,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597218340864', 'name': 'Video Games'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '10045599546', 'name': 'Pokémon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable. **NOTE: Annotations redirected to domain 130 ONLY on 8/7/18.'}}]","{'hashtags': [{'start': 61, 'end': 72, 'tag': 'ポケモンWordle'}], 'urls': [{'start': 36, 'end': 59, 'url': 'https://t.co/wh62fetssB', 'expanded_url': 'https://wordle.mega-yadoran.jp/', 'display_url': 'wordle.mega-yadoran.jp'}]}",,
1520857353649901569,2022-05-01T20:07:03.000Z,,Twitter for Android,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Hmm!🤔
Wordle 316 4/6

⬜⬜⬜🟨⬜
⬜🟩⬜⬜⬜
⬜🟩🟩⬜⬜
🟩🟩🟩🟩🟩",1520857353649901569,everyone,,1127123697159086080,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,
1520857312931434496,2022-05-01T20:06:54.000Z,,Twitter for Android,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 317 4/6

⬛⬛🟩🟩⬛
🟩⬛🟩🟩🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",1520857312931434496,everyone,,103584175,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,
1520857309320073216,2022-05-01T20:06:53.000Z,,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 317 4/6

⬛⬛⬛⬛🟨
🟩⬛⬛🟩⬛
🟩⬛🟩🟩🟨
🟩🟩🟩🟩🟩",1520857309320073216,everyone,,80023853,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,
1520857308586295298,2022-05-01T20:06:53.000Z,,Twitter Web App,False,en,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}","Wordle 316 4/6

⬜⬜🟨⬜⬜
⬜🟨⬜🟨🟩
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩",1520857308586295298,everyone,,1703870515,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,
1520857296951148549,2022-05-01T20:06:50.000Z,,Twitter for iPhone,False,ja,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 317 4/6

⬜🟨🟨⬜⬜
⬜⬜⬜⬜🟨
🟩⬜⬜⬜🟩
🟩🟩🟩🟩🟩
今日は誰でも知ってる単語でした",1520857296951148549,everyone,,110597198,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,
1520857296318140416,2022-05-01T20:06:50.000Z,,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 317 4/6

⬛⬛⬛🟩⬛
🟩⬛⬛🟩🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",1520857296318140416,everyone,,90120095,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,
1520857273379471360,2022-05-01T20:06:44.000Z,,Twitter for iPad,False,ja,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","ワードスナイプ / 日本語Wordle https://t.co/UF6z0p8TDG
 No. 502
⬜⬜⬜🟨
⬜🟧🟩🟨
🟨🟨🟩🟩
🟧⬜🟩🟩
⬜🟩🟩🟩
⬜🟩🟩🟩
🟩🟩🟩🟩",1520857273379471360,everyone,,156964066,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10046397689', 'name': '仮面ライダーエグゼイド'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'urls': [{'start': 20, 'end': 43, 'url': 'https://t.co/UF6z0p8TDG', 'expanded_url': 'http://inertia-yehu.github.io/wordsnipe', 'display_url': 'inertia-yehu.github.io/wordsnipe'}]}",,
1520857270648725510,2022-05-01T20:06:44.000Z,,Twitter Web App,False,tr,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Yenə çox dəxilsiz.

Wordle Azərbaycanca 
https://t.co/vM4TYaV1ZN 100 5/6
⬜🟨⬜⬜⬜
⬜⬜⬜⬜🟨
🟨⬜⬜⬜⬜
🟨🟩🟨⬜🟩
🟩🟩🟩🟩🟩",1520857270648725510,everyone,,1185494245181923328,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'urls': [{'start': 41, 'end': 64, 'url': 'https://t.co/vM4TYaV1ZN', 'expanded_url': 'http://sozutap.com', 'display_url': 'sozutap.com'}]}",,
1520857255566278656,2022-05-01T20:06:40.000Z,,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 317 6/6

🟩⬜⬜⬜🟨
🟩🟩🟨⬜⬜
🟩🟩⬜🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",1520857255566278656,everyone,,131220807,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,
1520857239501824000,2022-05-01T20:06:36.000Z,,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 316 5/6

⬜🟩⬜⬜⬜
⬜🟩⬜⬜⬜
⬜🟩⬜🟨⬜
⬜🟩🟩⬜⬜
🟩🟩🟩🟩🟩",1520857239501824000,everyone,,467701728,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,
1520857233495494656,2022-05-01T20:06:35.000Z,,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 316 5/6

🟨🟩⬛⬛⬛
⬛🟩⬛⬛⬛
⬛🟩🟩⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩

i was dumb for a second but good word",1520857233495494656,everyone,,953293173740134400,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,
