,verified,description,protected,url,public_metrics,entities,location,profile_image_url,pinned_tweet_id,name,id,username
750411876,False,,False,,"{'followers_count': 18, 'following_count': 43, 'tweet_count': 116, 'listed_count': 0}",,,https://pbs.twimg.com/profile_images/1385983509597130759/jql3HKl__normal.jpg,,bubilla29,,AzucenaPeiro
83300131,False,"Enjoy Family, Friends, good food, good wine and following the North Melbourne Kangaroos",False,,"{'followers_count': 106, 'following_count': 362, 'tweet_count': 422, 'listed_count': 4}",,"Canberra, Australia",https://pbs.twimg.com/profile_images/826265108888252416/O7P1eWJc_normal.jpg,,Patrick Wyllie 💉💉💉,,Moose1969
2294950370,False,"crisp trepidation, I’ll try to shake this soon",False,,"{'followers_count': 6390, 'following_count': 118, 'tweet_count': 354495, 'listed_count': 62}",,Velaris,https://pbs.twimg.com/profile_images/1464247664233562141/3_W7MKyo_normal.jpg,1308421110778691592,judithᴴ,,prideonemotion
865589585329475585,False,Computer Scientist * Computational Linguistics/Genomics *,False,,"{'followers_count': 606, 'following_count': 2438, 'tweet_count': 12704, 'listed_count': 1}",,Costa Derecha,https://pbs.twimg.com/profile_images/1500315166101188616/omdOxcWS_normal.jpg,1359733491362115590,J.D. Mendelian Geneticist,,ScDuende
47957135,False,"follow me not, a trap it is.",False,,"{'followers_count': 258, 'following_count': 118, 'tweet_count': 4072, 'listed_count': 1}",,Jakarta Capital Region,https://pbs.twimg.com/profile_images/1520268021532852225/L-qeXPfG_normal.jpg,,ANDRIΛN TΛUFIK S.,,and21ts
2553138504,False,,False,,"{'followers_count': 167, 'following_count': 704, 'tweet_count': 4505, 'listed_count': 0}",,,https://pbs.twimg.com/profile_images/475365563900755968/8GsPuPxS_normal.jpeg,,carycat,,carycat2
1312029085103726594,False,🦋🦋,False,,"{'followers_count': 74, 'following_count': 148, 'tweet_count': 367, 'listed_count': 0}",,Madrid,https://pbs.twimg.com/profile_images/1517896159821541377/6P-aqtqQ_normal.jpg,,vickytoria🫠,,viicky_gc
65873493,False,"カエルとして生きていきます🐸
通信系SEで流刑の係長です。
2010年10月に1型糖尿病（IDDM）が発覚しました💉
鰻重とかカレーとかスイーツとかが好物です。最近は釣りというかキャスティングに時間をさいてます🎣",False,https://t.co/eDTwhTcUsu,"{'followers_count': 208, 'following_count': 171, 'tweet_count': 52136, 'listed_count': 13}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/eDTwhTcUsu', 'expanded_url': 'http://twilog.org/kzy2', 'display_url': 'twilog.org/kzy2'}]}}",埼玉 吉川市,https://pbs.twimg.com/profile_images/1437709242702581761/xOjggbr5_normal.jpg,997776234929995776,𝕂ℤ𝕐𝟚(ｶｽﾞﾔ.Y),,kzy2
721131472669659136,False,"When the love of power is overcome by the power of love, there will be peace.",False,,"{'followers_count': 1202, 'following_count': 1074, 'tweet_count': 83682, 'listed_count': 5}",,Australia,https://pbs.twimg.com/profile_images/1386736454030614534/iAA0nCfh_normal.jpg,,✳️✳️✳️Marydoll,,heyjimmy299
2516927242,False,"Me gustan las series, el basket, los comics y la música, especialmente el Rock progresivo.",False,,"{'followers_count': 387, 'following_count': 464, 'tweet_count': 17673, 'listed_count': 0}",,"Barcelona, Spain",https://pbs.twimg.com/profile_images/1517175061328900104/g-O4w_tb_normal.jpg,1442583870046720000,Carlos,,chapasnorris
3750513555,False,Mum of two female womb gremlins...,False,,"{'followers_count': 4, 'following_count': 51, 'tweet_count': 109, 'listed_count': 0}",,"Cambridge, England",https://pbs.twimg.com/profile_images/1495462495166910464/DS1fb-Fn_normal.jpg,,Rachel Frances Smith,,wombgremlins
4706131578,False,I get a great view of the abyss from down here.,False,,"{'followers_count': 50, 'following_count': 195, 'tweet_count': 3364, 'listed_count': 0}",,"te wai pounamu, aotearoa. ",https://pbs.twimg.com/profile_images/1078049201202712576/sEoSoRwB_normal.jpg,,forgot password?,,gus_ian
2440516116,False,https://t.co/WydVwhESA1 🌐,False,,"{'followers_count': 68, 'following_count': 424, 'tweet_count': 231, 'listed_count': 0}","{'description': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/WydVwhESA1', 'expanded_url': 'http://behance.net/pulsr', 'display_url': 'behance.net/pulsr'}]}}",uk,https://pbs.twimg.com/profile_images/700116874944765952/9fygyUFk_normal.png,623883866416279552,peter,,pulsr_
700797614,False,https://t.co/XF8frA6kvF,False,https://t.co/sn8M5uHuiL,"{'followers_count': 198, 'following_count': 855, 'tweet_count': 5978, 'listed_count': 4}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/sn8M5uHuiL', 'expanded_url': 'http://last.fm/user/musiksaya', 'display_url': 'last.fm/user/musiksaya'}]}, 'description': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/XF8frA6kvF', 'expanded_url': 'http://instagram.com/danieswr', 'display_url': 'instagram.com/danieswr'}]}}",daydream nation,https://pbs.twimg.com/profile_images/1053998277870313472/XG9BSWnw_normal.jpg,1210732518279745536,danies W R,,danies_WR
362543126,False,I like Jung So Min. I like Kim Hyun Joong.,False,,"{'followers_count': 3996, 'following_count': 294, 'tweet_count': 204498, 'listed_count': 19}",,Singapore,https://pbs.twimg.com/profile_images/582427025064890368/ubtXjR3w_normal.jpg,1227122278099324928,ML,,Princessmich123
4185279142,False,"Rock life. I mix vinyl DJ sets. Drummer -Conguero Poi Dog Pondering.
I also tweet @johnnyyeayea.",False,https://t.co/Llt0H4ZieU,"{'followers_count': 194, 'following_count': 556, 'tweet_count': 1845, 'listed_count': 2}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Llt0H4ZieU', 'expanded_url': 'http://www.eljohn.com', 'display_url': 'eljohn.com'}]}, 'description': {'mentions': [{'start': 82, 'end': 95, 'username': 'johnnyyeayea'}]}}","Chicago, IL",https://pbs.twimg.com/profile_images/1463514570752937996/OHTr3l7j_normal.jpg,1265384566094737408,el John,,eljohnSelector
186997050,False,There is no off position on the genius switch,False,,"{'followers_count': 180, 'following_count': 1386, 'tweet_count': 8886, 'listed_count': 5}",,,https://pbs.twimg.com/profile_images/911670332079132674/29Nsl3-K_normal.jpg,,Richard Eadie,,whyimeadie
1082863116269076480,False,La vida me coñasea pero yo la voy a escoñetar aun mas,False,,"{'followers_count': 282, 'following_count': 1270, 'tweet_count': 20228, 'listed_count': 1}",,,https://pbs.twimg.com/profile_images/1505960568859115522/JHk4D_y-_normal.jpg,1466960840490369036,Blackrisesss,,blackrisesss
17355297,False,"Fully vaxxed coder, hockyer, iRacer, brewer, cycler, gamer, musicianer, etc.",False,,"{'followers_count': 81, 'following_count': 453, 'tweet_count': 325, 'listed_count': 4}",,St. Louis,https://pbs.twimg.com/profile_images/995488734824030208/iPHVOlev_normal.jpg,,Matt Logan,,mlogan1313
1114721228,False,nani mo arimasen,False,,"{'followers_count': 159, 'following_count': 217, 'tweet_count': 9783, 'listed_count': 0}",,,https://pbs.twimg.com/profile_images/1277165251536941056/ryFDdi_X_normal.jpg,,Izam,,jimecure
341326578,False,a lucky man,False,,"{'followers_count': 242, 'following_count': 376, 'tweet_count': 6128, 'listed_count': 0}",,,https://pbs.twimg.com/profile_images/1364250564440117252/fwJzEiwc_normal.jpg,,GoPetch,,GoPetch
1180866375469993985,False,"Immigrant, ally, tired of the shit. I will bare witness and walk with you #blacklivesmatter",False,,"{'followers_count': 118, 'following_count': 301, 'tweet_count': 6628, 'listed_count': 0}","{'description': {'hashtags': [{'start': 74, 'end': 91, 'tag': 'blacklivesmatter'}]}}","Anarchist Jurisdiction, NY ",https://pbs.twimg.com/profile_images/1180866609159852034/PLP3ZTPL_normal.jpg,,kathryn. like the account says,,KathrynFaccount
71922180,False,"釣り、ウインドサーフィンが好きで逗子に在住。メタボ解消のためにランニングも。仕事は広告業で、その手のツイートも。I live in ZUSHI,  love fishing, windsurfing, running for diet and advertising.",False,,"{'followers_count': 186, 'following_count': 170, 'tweet_count': 4443, 'listed_count': 21}",,逗子、新橋、汐留,https://pbs.twimg.com/profile_images/1203517059/toshi_fukushima_normal.jpg,,Toshihiro Fukushima,,toshi_fukushima
231118433,False,20↑ 。カエルと音ゲーとボイロが好きです。人が怖いです。結月ゆかりをすこれ。 下ネタ(@caro_kero ),False,,"{'followers_count': 96, 'following_count': 1056, 'tweet_count': 55518, 'listed_count': 3}","{'description': {'mentions': [{'start': 44, 'end': 54, 'username': 'caro_kero'}]}}",井の中,https://pbs.twimg.com/profile_images/1103746737468915713/XAzullFR_normal.jpg,1202095722788786181,ばる,,baLsa_n
2988781580,False,"travel journalist, editor | tweets about art, science, kpop, puzzles | ex-@oltraveller @ixigo @betterphoto | made https://t.co/WBldAVgTZu, the multiplayer wordle game",False,https://t.co/sMNwbXhvzE,"{'followers_count': 533, 'following_count': 804, 'tweet_count': 8681, 'listed_count': 0}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/sMNwbXhvzE', 'expanded_url': 'https://wordlecup.io', 'display_url': 'wordlecup.io'}]}, 'description': {'urls': [{'start': 114, 'end': 137, 'url': 'https://t.co/WBldAVgTZu', 'expanded_url': 'http://wordlecup.io', 'display_url': 'wordlecup.io'}], 'mentions': [{'start': 74, 'end': 86, 'username': 'oltraveller'}, {'start': 87, 'end': 93, 'username': 'ixigo'}, {'start': 94, 'end': 106, 'username': 'betterphoto'}]}}",New Delhi,https://pbs.twimg.com/profile_images/1494742474547363843/9xXcf4TS_normal.jpg,1513572875894427654,Nayanika 🌻,,nayanika_m
438144474,False,,False,,"{'followers_count': 12, 'following_count': 140, 'tweet_count': 270, 'listed_count': 0}",,,https://pbs.twimg.com/profile_images/1342789566361600000/Ljhjol4t_normal.jpg,,imam farikhi,,ifarikhi
42120566,False,"Go Browns, Go CAVs, Go Blue Wave, Never Trump",False,,"{'followers_count': 3943, 'following_count': 4872, 'tweet_count': 11611, 'listed_count': 6}",,Arcata,https://pbs.twimg.com/profile_images/577973744171245568/1tVRlg8t_normal.jpeg,,NoCali Girl,,lmj4746
149520039,False,"Strategist extraordinaire, Spreadsheet game on a hunnit!!! #YoungAtHeart, Live and die for family and Hip Hop!",False,,"{'followers_count': 530, 'following_count': 868, 'tweet_count': 9465, 'listed_count': 6}","{'description': {'hashtags': [{'start': 59, 'end': 72, 'tag': 'YoungAtHeart'}]}}",South Africa,https://pbs.twimg.com/profile_images/1091541140468310016/5BWB2Xbg_normal.jpg,,Sech,,sechabakou
266793195,False,いろいろ遊んでみたけどやっぱりグラブルに戻ってきてしまう,False,https://t.co/FUHQ3SjXup,"{'followers_count': 36, 'following_count': 32, 'tweet_count': 1001, 'listed_count': 3}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/FUHQ3SjXup', 'expanded_url': 'https://budouchan.muragon.com/', 'display_url': 'budouchan.muragon.com'}]}}",,https://pbs.twimg.com/profile_images/1276832210/grape_normal.gif,,ぶどうちゃん,,budouchan_kyoto
591115614,False,"• XXIV • she/her • ♒
• Matemáticas en la UCM.",False,https://t.co/gpKfftr6a3,"{'followers_count': 347, 'following_count': 426, 'tweet_count': 85207, 'listed_count': 13}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/gpKfftr6a3', 'expanded_url': 'https://www.instagram.com/sandra_aiko/', 'display_url': 'instagram.com/sandra_aiko/'}]}}",,https://pbs.twimg.com/profile_images/1379052449487552512/OPwl_HiZ_normal.jpg,1312832436145917952,†🍒 Sandra Aiko 🍒†,,Sandra_Aiko
1160840888,False,関西在住の酒好き歴史好き映画好きゴリラ。,False,,"{'followers_count': 569, 'following_count': 774, 'tweet_count': 30833, 'listed_count': 7}",,兵庫県　川西市,https://pbs.twimg.com/profile_images/1506161644967448578/GmQHK7QM_normal.png,869411260789538816,愛書狂の唄（3回目はモデルナ）,,TheBibliomania
24088400,False,Cat convert.,False,,"{'followers_count': 783, 'following_count': 1153, 'tweet_count': 3977, 'listed_count': 17}",,New Zealand,https://pbs.twimg.com/profile_images/817829053994389505/Ax8B-lYn_normal.jpg,,Kim Walbridge,,kimwalbridge
713982340129619969,False,"ミジュマル族、ヒノアラシ族LOVE ポケダンが好きすぎて毎年新作待ってる
※ツイートよりリツイートの方が圧倒的に多いのでご注意ください",False,,"{'followers_count': 83, 'following_count': 693, 'tweet_count': 11104, 'listed_count': 0}",,福岡 太宰府市,https://pbs.twimg.com/profile_images/1145335695948431361/WB9sw4EU_normal.jpg,,ダイコン(オニオオハシ）🍫🦎,,hoperincoo
787715102866862080,False,,False,,"{'followers_count': 18, 'following_count': 127, 'tweet_count': 125, 'listed_count': 0}",,"Chicago, IL",https://pbs.twimg.com/profile_images/1493235106701578240/Q-WkEhEw_normal.jpg,1379524162784477191,RimA,,legarconnoir_
536749554,False,"Herbalist, Advocate, Graphic Designer, Red Seal Tradeswoman, Snowboarder, Inventor.",False,https://t.co/oUW0nfomO4,"{'followers_count': 27, 'following_count': 40, 'tweet_count': 1692, 'listed_count': 0}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/oUW0nfomO4', 'expanded_url': 'http://www.jaderiverdesign.com', 'display_url': 'jaderiverdesign.com'}]}}",Traditional Sts'Ailes Land,https://pbs.twimg.com/profile_images/1495487416114692097/nbf89LSQ_normal.jpg,1515386582886334465,Jade River...(I am a noun),,jaderiverdesign
