id,protected,verified,description,name,url,username,profile_image_url,public_metrics,pinned_tweet_id,location,entities
162911759,False,False,화이팅 pero at the same time suko na,zebuyaaas 🧅,,mrsjepsabs,https://pbs.twimg.com/profile_images/1522045086237831169/q181RJe7_normal.jpg,"{'followers_count': 38, 'following_count': 35, 'tweet_count': 186753, 'listed_count': 0}",1.521952722848981e+18,"she/her, LPT na rin",
185468158,False,False,"Poet. Author. Activist.
#desiringlightbook won the Daybreak Press Book Award 2021! 🏅

A smile personified. In love with the ordinary. Hopeful sinner.",Ameera,https://t.co/6sL58GrXFe,AmeeraAslam,https://pbs.twimg.com/profile_images/1486882160732962820/cRjhpt4D_normal.jpg,"{'followers_count': 171, 'following_count': 452, 'tweet_count': 4931, 'listed_count': 4}",1.511818817949016e+18,Singapore,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/6sL58GrXFe', 'expanded_url': 'https://linktr.ee/ameeraaslam', 'display_url': 'linktr.ee/ameeraaslam'}]}, 'description': {'hashtags': [{'start': 24, 'end': 42, 'tag': 'desiringlightbook'}]}}"
19997701,False,False,she/her. Actor. Artist. Represented by Findley Ravenheart 💫 #blacklivesmatter,Cheyenne,https://t.co/ZUE7DoJQY8,chymeariver,https://pbs.twimg.com/profile_images/1504158436451356672/p8u3Yq1i_normal.jpg,"{'followers_count': 1223, 'following_count': 478, 'tweet_count': 52545, 'listed_count': 5}",8.771881965846282e+17,"England, United Kingdom","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ZUE7DoJQY8', 'expanded_url': 'https://www.instagram.com/dasriart/', 'display_url': 'instagram.com/dasriart/'}]}, 'description': {'hashtags': [{'start': 60, 'end': 77, 'tag': 'blacklivesmatter'}]}}"
1185883406003068928,False,False,"Sakın, Allah'ı zalimlerin yaptıklarından habersiz sanma!

🇺🇦#StopWar",▒۩۞♔ M.Salim♔ ۞۩░▒,,M_SLM_,https://pbs.twimg.com/profile_images/1417847180883341315/D7jWQt9Q_normal.jpg,"{'followers_count': 10057, 'following_count': 10406, 'tweet_count': 102517, 'listed_count': 3}",1.3925442680200315e+18,Doğu Türkistan/Uygur/Ankara,"{'description': {'hashtags': [{'start': 60, 'end': 68, 'tag': 'StopWar'}]}}"
577341580,False,False,Boston sports. Local politics. Sarcasm. Archivist. 😷☘️🐻,Intestinal Fortitude,,ParquetOverIce,https://pbs.twimg.com/profile_images/694375762745389057/tiN9_oDR_normal.png,"{'followers_count': 240, 'following_count': 298, 'tweet_count': 39438, 'listed_count': 31}",1.4595164311005225e+18,Boston,
233668945,False,False,Just using Twitter to get my opinions out there.,me,,apricotpeach11,https://pbs.twimg.com/profile_images/1189370517695926273/cNyzA_cC_normal.jpg,"{'followers_count': 78, 'following_count': 344, 'tweet_count': 9634, 'listed_count': 9}",,,
1465607388,False,False,Lover of life. Singer of songs,Ana Fernández G.,,Anaqueen36,https://pbs.twimg.com/profile_images/3726533031/02c75929841e0e04ea046e8245a80827_normal.jpeg,"{'followers_count': 11, 'following_count': 55, 'tweet_count': 65, 'listed_count': 0}",,España,
75843401,False,False,"Supply Chain Professional o9  Solutions| Ex - Mahindra & Mahindra,  Blue Yonder (JDA)
Bengaluru",પ્રતિક ભાટિયા,,pratikbhatia,https://pbs.twimg.com/profile_images/1328436527/DSC_0044_normal.JPG,"{'followers_count': 159, 'following_count': 433, 'tweet_count': 1496, 'listed_count': 1}",,બેંગલુરુ,
1513322767789309952,False,False,"Me gustan las series, twitch, la música y el furbol",PCH 🇪🇦🏳️‍🌈,,PCH185,https://pbs.twimg.com/profile_images/1513329567171284992/G51S2dUi_normal.jpg,"{'followers_count': 33, 'following_count': 173, 'tweet_count': 431, 'listed_count': 0}",,"Madrid, Comunidad de Madrid",
1111561849,False,False,,ชั้นปวดหัวมากนะ,,mennoii,https://pbs.twimg.com/profile_images/1181787147327524865/DecKAUOL_normal.jpg,"{'followers_count': 66, 'following_count': 126, 'tweet_count': 9944, 'listed_count': 0}",1.2848918668701204e+18,,
