,name,url,protected,profile_image_url,id,username,public_metrics,description,verified,location,entities,pinned_tweet_id
119578654,Weapon,http://t.co/bdw6L68OO2,False,https://pbs.twimg.com/profile_images/1272126678/4901480227849_normal.jpg,,weaponll,"{'followers_count': 101, 'following_count': 162, 'tweet_count': 22533, 'listed_count': 1}","マイペースにチェロ弾いたり打楽器叩いたりしてます．むしろ主にゲームしてます．
見るも見ないも自由にどうぞ．フォロー返しはするかもしれないししないかもしれません．
オーケストラ/チェロ/吹奏楽/打楽器
ペンシルパズル/リアル脱出ゲーム",False,Osaka,"{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/bdw6L68OO2', 'expanded_url': 'http://www.google.co.jp/', 'display_url': 'google.co.jp'}]}}",
347865341,みたか,,False,https://pbs.twimg.com/profile_images/718414800783474689/ydoYE-Fr_normal.jpg,,mikasamitaka,"{'followers_count': 130, 'following_count': 101, 'tweet_count': 22349, 'listed_count': 4}",石油会社の下請けをやっていた頃の貯蓄で細々と生きています,False,地下労働施設,,
1390080439751266309,AlexVI✨,,False,https://pbs.twimg.com/profile_images/1469685130033872903/OZh_R_Fe_normal.jpg,,AlexVI_____,"{'followers_count': 37, 'following_count': 330, 'tweet_count': 2400, 'listed_count': 0}","Estudio Derecho. 
La vida iba en serio.
🏆 x9.",False,,,1439645787135385601
852400349486792704,紫電,,False,https://pbs.twimg.com/profile_images/1504209066989875200/bK00IdVB_normal.jpg,,bokuhanokemono,"{'followers_count': 108, 'following_count': 2196, 'tweet_count': 9496, 'listed_count': 0}",理系全弱の理系 r=n=1 図書館浪人,False,ホロ沼,,1495916705918644226
1669907142,下山 純／junshimoyama.eth,,False,https://pbs.twimg.com/profile_images/1384131342091243526/spVaX9SR_normal.jpg,,JunShimoyama,"{'followers_count': 1363, 'following_count': 1887, 'tweet_count': 4271, 'listed_count': 41}",共同通信記者/ Staff Writer for Kyodo News #メタバース では『しもぴょん simopion』 #デジタルテクノロジーが好き #サイバーセキュリティー #データプライバシー #データサイエンス #ブロックチェーン #NFT #AI #SNS #デジタルジャーナリズム #プログラミング初心者,True,,"{'description': {'hashtags': [{'start': 36, 'end': 42, 'tag': 'メタバース'}, {'start': 62, 'end': 76, 'tag': 'デジタルテクノロジーが好き'}, {'start': 77, 'end': 89, 'tag': 'サイバーセキュリティー'}, {'start': 90, 'end': 100, 'tag': 'データプライバシー'}, {'start': 101, 'end': 110, 'tag': 'データサイエンス'}, {'start': 111, 'end': 120, 'tag': 'ブロックチェーン'}, {'start': 121, 'end': 125, 'tag': 'NFT'}, {'start': 126, 'end': 129, 'tag': 'AI'}, {'start': 130, 'end': 134, 'tag': 'SNS'}, {'start': 135, 'end': 147, 'tag': 'デジタルジャーナリズム'}, {'start': 148, 'end': 159, 'tag': 'プログラミング初心者'}]}}",
136645299,しぇす 公式,,False,https://pbs.twimg.com/profile_images/1485988269422936065/zLtivRDa_normal.jpg,,Chelle_PR_tweet,"{'followers_count': 154, 'following_count': 282, 'tweet_count': 26229, 'listed_count': 3}",しぇすさんのPR用アカウント。生きる黒歴史、安定の無職、座敷牢おじさん、一生牛丼マン、チー牛、ツナマヨ民、一括払いおじさん、肥満体、寝そべり族、身長170cm未満なので人権がない、はじの方に座っている社会のゴミオブゴミの石油王です。,False,高知 物部市,,883707548091564032
2210971754,まいお⁷,,False,https://pbs.twimg.com/profile_images/1494460283330662400/gN1HI3Dl_normal.jpg,,mio1973,"{'followers_count': 127, 'following_count': 561, 'tweet_count': 25323, 'listed_count': 1}",好きな人たちやおいしいものや猫のことばかり考えていたいけどそうもいかず…政治の話題多めです。札幌五輪いらない🗑,False,北海道,,
527060823,ハル＠温かい通り越して暑くなってきた・・・,,False,https://pbs.twimg.com/profile_images/1112293124582195201/owPtE-ri_normal.png,,ukkari_haru,"{'followers_count': 188, 'following_count': 1368, 'tweet_count': 32854, 'listed_count': 10}","春林英明です。気が向いたら好き勝手につぶやいてます。
フォローリクエスト、知らない（ハンドル名見てわからない）人は基本放置ってますのでお友達の方だったら名乗ってくださいまし。",False,自宅だよ,,
325291661,Janet Caruthers,,False,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,jazejan,"{'followers_count': 87, 'following_count': 393, 'tweet_count': 42998, 'listed_count': 4}",,False,,,
32942677,Todd A McIntosh,https://t.co/qagHaauvmm,False,https://pbs.twimg.com/profile_images/1063127166525698048/HVpIK_zp_normal.jpg,,RocknRealtor,"{'followers_count': 105, 'following_count': 189, 'tweet_count': 1098, 'listed_count': 3}",I only eat cantaloupe at certain times.,False,"Los Angeles, CA","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/qagHaauvmm', 'expanded_url': 'http://ATHOMEaroundtown.com', 'display_url': 'ATHOMEaroundtown.com'}]}}",
