id,name,public_metrics,url,description,profile_image_url,location,protected,username,verified,entities,pinned_tweet_id
36975178.0,MLH,"{'followers_count': 1114, 'following_count': 2281, 'tweet_count': 9651, 'listed_count': 0}",,"At-home caregiver for disabled Navy vet older bro. Keepin' my eye on things now.

'Fact without theory is trivia. Theory without fact is bullshit.'",https://pbs.twimg.com/profile_images/966009017427378176/x5uC7zlw_normal.jpg,W. Haven CT USA,False,Heffalumpy,False,,1.210217924314706e+18
81920395.0,𝙇𝙚𝙚 𝙅𝙤𝙣𝙚𝙨 © 🇺🇦,"{'followers_count': 161, 'following_count': 311, 'tweet_count': 27700, 'listed_count': 6}",,I both love and do not love. Am mad and am not mad. I will occasionally tweet nonsense. He/Him,https://pbs.twimg.com/profile_images/1513093058010783744/l78Nr9K9_normal.jpg,"Stoke on Trent, UK",False,Leejay1963,False,,
1.3733279328322929e+18,🐌,"{'followers_count': 159, 'following_count': 158, 'tweet_count': 10673, 'listed_count': 18}",,catrry. tracks 11 & 13 are mine🙈,https://pbs.twimg.com/profile_images/1520983857847275520/de3rhp2g_normal.jpg,she/her 19 ,False,sixthirtystan,False,,
158883878.0,Lilsi - 🏴‍☠️🏳️‍🌈 OFMD,"{'followers_count': 105, 'following_count': 149, 'tweet_count': 7554, 'listed_count': 3}",,"UK Queer Ace, 35, She/They TransAlly 🏳️‍⚧️🏳️‍🌈   
Likes Animals, Sci-Fi, Fandom & Food♠️🐺☠️🍇 SFW account. No Prawn here",https://pbs.twimg.com/profile_images/1516007116095512578/R5JqVoZB_normal.jpg,,False,_Lilsi_,False,,1.5179175488425615e+18
3076003132.0,gamosoft,"{'followers_count': 28, 'following_count': 103, 'tweet_count': 1136, 'listed_count': 2}",https://t.co/GTtyWzArnu,https://t.co/RoZE1ILBqw,https://pbs.twimg.com/profile_images/573973038774923264/GmDuvF-J_normal.png,Chicago,False,gamosoft,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/GTtyWzArnu', 'expanded_url': 'http://www.gamosoft.com', 'display_url': 'gamosoft.com'}]}, 'description': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/RoZE1ILBqw', 'expanded_url': 'https://www.youtube.com/c/gamosoft?sub_confirmation=1', 'display_url': 'youtube.com/c/gamosoft?sub…'}]}}",9.377254512163103e+17
4242993861.0,I’m just a Bill 💥🤷🏼‍♂️✌🏼,"{'followers_count': 230, 'following_count': 1135, 'tweet_count': 8182, 'listed_count': 0}",,Retired. Progressive AF. yogi and Lover. “People at birth are entirely good” Right Now It’s Like This. BLM. Dad. Veteran. USN. Former Aircraft Whisperer.,https://pbs.twimg.com/profile_images/1440143941324578827/9DwXKfhi_normal.jpg,Coastal Miwok Territory,False,Artfulgiant256,False,,1.2888646426351657e+18
7.348631569174897e+17,Manolo,"{'followers_count': 163, 'following_count': 545, 'tweet_count': 8244, 'listed_count': 5}",,La vida es la oxidación terbentácea de la autosauria unípede a la que acotan la icosaedra y dos cañiflas,https://pbs.twimg.com/profile_images/1286964497278742530/z72ugaFb_normal.jpg,"Coria del Río, España",False,ManoloNocturno,False,,
22603878.0,James,"{'followers_count': 49, 'following_count': 307, 'tweet_count': 1283, 'listed_count': 1}",,,https://pbs.twimg.com/profile_images/900081786717392898/AlVT5Utu_normal.jpg,,False,Jimbob78,False,,
114428430.0,Ós Arc Mar,"{'followers_count': 1154, 'following_count': 1000, 'tweet_count': 27682, 'listed_count': 15}",,"Cuando un tonto coge una linde, la linde se acaba y el tonto sigue",https://pbs.twimg.com/profile_images/1400381049213964290/kB94kmOT_normal.jpg,,False,ojkararmar,False,,8.841376280854938e+17
49000374.0,Sönke Franz,"{'followers_count': 239, 'following_count': 631, 'tweet_count': 9065, 'listed_count': 42}",,Verdachts #Asperger. Das Ganze Leben auf der Suche nach #Inklusion mit @sovdnds. Aktiv @spdhemmoor Bin ein #Ravenclaw Profilfoto vom #EWF19,https://pbs.twimg.com/profile_images/1160238329264259072/Qd8eCIBs_normal.jpg,"Hechthausen, Deutschland",False,Franzsh,False,"{'description': {'hashtags': [{'start': 10, 'end': 19, 'tag': 'Asperger'}, {'start': 56, 'end': 66, 'tag': 'Inklusion'}, {'start': 107, 'end': 117, 'tag': 'Ravenclaw'}, {'start': 133, 'end': 139, 'tag': 'EWF19'}], 'mentions': [{'start': 71, 'end': 79, 'username': 'sovdnds'}, {'start': 87, 'end': 98, 'username': 'spdhemmoor'}]}}",
1.1746916876895437e+18,Rafa Cerdeño,"{'followers_count': 12, 'following_count': 21, 'tweet_count': 466, 'listed_count': 0}",,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,False,CerdenoRafa,False,,
1469452987.0,Dani,"{'followers_count': 138, 'following_count': 313, 'tweet_count': 11803, 'listed_count': 4}",,Videojocs y mas,https://pbs.twimg.com/profile_images/1241725934723649536/0g1gV4J6_normal.jpg,Cádiz,False,Dani_K2005,False,,
9.141931951767347e+17,Nenya🌻,"{'followers_count': 3620, 'following_count': 2536, 'tweet_count': 25402, 'listed_count': 15}",,ACNH 🌿 | Repostera y maquilladora🍫💄| Deporte💪🏼 | Se me dan mal las mates pero mi novio es matemático ✨,https://pbs.twimg.com/profile_images/1515574776298942467/5mN-30M5_normal.jpg,Madrid ,False,SrtaNenya,False,,1.5170310292902912e+18
1.2838629899474452e+18,Qupid💌,"{'followers_count': 1658, 'following_count': 638, 'tweet_count': 24566, 'listed_count': 7}",https://t.co/fizJ50pC5u,• astrologer | • blk nonbinary girl | • 20 | • she cashapp/venmo: $onyxtipped,https://pbs.twimg.com/profile_images/1515994479479644168/QYirYuzS_normal.jpg,1st House/12th House,False,onyxtippedastro,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/fizJ50pC5u', 'expanded_url': 'https://snipfeed.co/onyxtippedastro', 'display_url': 'snipfeed.co/onyxtippedastro'}]}}",1.5201545733856502e+18
1405417178.0,Sami C.,"{'followers_count': 186, 'following_count': 283, 'tweet_count': 6808, 'listed_count': 1}",https://t.co/dvQ2TXyGPD,"He/Him || TAMU'19 || NLP/Chatbot Dev || FE, Yakuza, Splat n PKMN dude || 🎺 PETE-CSCE gang 🎺 || header+pfp - @rees_bees",https://pbs.twimg.com/profile_images/1218314724204519424/elncDJSO_normal.jpg,"New York, USA",False,SSamic22,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/dvQ2TXyGPD', 'expanded_url': 'http://samicthedev.com', 'display_url': 'samicthedev.com'}]}, 'description': {'mentions': [{'start': 108, 'end': 118, 'username': 'rees_bees'}]}}",1.1283441070285701e+18
8.185893846058435e+17,Afroza,"{'followers_count': 440, 'following_count': 424, 'tweet_count': 19788, 'listed_count': 1}",,,https://pbs.twimg.com/profile_images/818595353654071301/78sDwXdu_normal.jpg,United States,False,afrozamannan,False,,
1.0902318417753416e+18,Nishpakch Indian,"{'followers_count': 986, 'following_count': 1390, 'tweet_count': 20605, 'listed_count': 0}",,Believe in national and social harmony. We are one! दहेज प्रथा और महिला उत्पीडन के सख्त खिलाफ़ हूं!,https://pbs.twimg.com/profile_images/1090233658328399874/tLQVrD1s_normal.jpg,,False,nishpakch,False,,
3138837259.0,こいけ,"{'followers_count': 10, 'following_count': 60, 'tweet_count': 91, 'listed_count': 0}",,こんにちは。こいけです。,https://pbs.twimg.com/profile_images/639748638114058240/6SFl3H9E_normal.jpg,,False,0307_koike,False,,
135336233.0,BOB,"{'followers_count': 14, 'following_count': 99, 'tweet_count': 244, 'listed_count': 0}",,,https://pbs.twimg.com/profile_images/1464858866185752580/Bzd0Kp7m_normal.jpg,cali ie,False,Chefbooby,False,,
4904925674.0,てると,"{'followers_count': 588, 'following_count': 91, 'tweet_count': 29674, 'listed_count': 14}",,"ウマとゲームが好き、たまに描く。キモツイート多めです。フォロー非推奨
お題箱 https://t.co/kKpHpkroim
pixiv
https://t.co/DC5uV6K7oH
マシュマロ
https://t.co/9ObqJZtA92",https://pbs.twimg.com/profile_images/1513873503367352343/bxsu_YcK_normal.jpg,,False,jouyoku0824,False,"{'description': {'urls': [{'start': 39, 'end': 62, 'url': 'https://t.co/kKpHpkroim', 'expanded_url': 'http://odaibako.net/u/jouyoku0824', 'display_url': 'odaibako.net/u/jouyoku0824'}, {'start': 69, 'end': 92, 'url': 'https://t.co/DC5uV6K7oH', 'expanded_url': 'http://pixiv.net/users/21503552', 'display_url': 'pixiv.net/users/21503552'}, {'start': 99, 'end': 122, 'url': 'https://t.co/9ObqJZtA92', 'expanded_url': 'http://marshmallow-qa.com/jouyoku0824', 'display_url': 'marshmallow-qa.com/jouyoku0824'}]}}",1.5138727465935544e+18
