id,created_at,source,possibly_sensitive,lang,public_metrics,text,conversation_id,reply_settings,author_id,context_annotations,entities,geo,in_reply_to_user_id,referenced_tweets,attachments
1520235132304699392,2022-04-30T02:54:34.000Z,Twitter for iPhone,False,ru,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Игра Wordle (RU) День #114 4/6

⬜🟨⬜⬜⬜
⬜🟨🟨⬜⬜
⬜🟩⬜🟩🟨
🟩🟩🟩🟩🟩

#вордли 

Отгадайте слово на  https://t.co/8ll7Ca0hwV",1520235132304699392,everyone,206653496,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'urls': [{'start': 87, 'end': 110, 'url': 'https://t.co/8ll7Ca0hwV', 'expanded_url': 'https://wordle.belousov.one', 'display_url': 'wordle.belousov.one'}], 'hashtags': [{'start': 57, 'end': 64, 'tag': 'вордли'}]}",,,,
1520235125329793024,2022-04-30T02:54:33.000Z,Twitter for iPhone,False,ja,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","マケマシタワ
Wordle 315 X/6

⬜⬜⬜⬜⬜
⬜⬜🟩⬜⬜
⬜🟩🟩⬜⬜
⬜🟩🟩⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩⬜⬜",1520235125329793024,everyone,151772892,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520235123610112000,2022-04-30T02:54:32.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 315 4/6

⬜🟨⬜🟨⬜
🟨🟩⬜⬜⬜
🟩⬜🟨⬜⬜
🟩🟩🟩🟩🟩",1520235123610112000,everyone,69825167,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520235106677698560,2022-04-30T02:54:28.000Z,Twitter for iPhone,False,ja,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","想定外のスペル…スペイン語みたい
Wordle 315 5/6

⬜⬜⬜🟨⬜
🟨🟩⬜⬜⬜
⬜🟩🟩🟨⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩",1520235106677698560,everyone,14733070,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520235073554948096,2022-04-30T02:54:20.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@Riteishd 🤪 Wordle 315 2/6

🟩⬜⬜⬜🟨
🟩🟩🟩🟩🟩",1520227908526415874,everyone,995275712,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1500795780021379075', 'name': 'Riteish Deshmukh'}}, {'domain': {'id': '56', 'name': 'Actor', 'description': 'An actor or actress in the world, like Kate Winslet or Leonardo DiCaprio'}, 'entity': {'id': '1500795780021379075', 'name': 'Riteish Deshmukh'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'mentions': [{'start': 0, 'end': 9, 'username': 'Riteishd', 'id': '57998991'}]}",,57998991,"[{'type': 'replied_to', 'id': '1520227908526415874'}]",
1520235069038010368,2022-04-30T02:54:19.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 315 5/6

🟨⬛🟨⬛⬛
⬛🟨⬛🟨🟨
🟩⬛🟨🟨⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩",1520235069038010368,everyone,59387766,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520235055771451392,2022-04-30T02:54:16.000Z,Twitter Web App,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Wordle 314 2/6*

⬜⬜🟩⬜🟨
🟩🟩🟩🟩🟩",1520235055771451392,everyone,82179472,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520235019620720640,2022-04-30T02:54:07.000Z,Twitter Web App,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 314 3/6

🟨🟨⬜🟩⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",1520235019620720640,everyone,4903887734,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520235009533087744,2022-04-30T02:54:05.000Z,Twitter for Android,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","I am...
Wordle 314 3/6

🟨🟨⬛🟨⬛
⬛⬛🟩⬛⬛
🟩🟩🟩🟩🟩",1520235009533087744,everyone,1852305626,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520235006987497472,2022-04-30T02:54:04.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 315 4/6
Hard!
🟨⬜⬜⬜⬜
⬜⬜🟨⬜⬜
⬜🟩⬜🟨⬜
🟩🟩🟩🟩🟩",1520235006987497472,everyone,15897463,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
