id,username,url,profile_image_url,location,verified,description,name,protected,public_metrics,pinned_tweet_id,entities
268733010.0,CarinMistry,,https://pbs.twimg.com/profile_images/1300930982158057473/UTMe9exG_normal.jpg,"nipaluna/Hobart, Tasmania",False,"Lover of  theatre, dance, writing, music & work that weaves in between forms. Once a Londoner. Studying French UTAS.Executive Producer MADE. Views own. She/her.",Carin Mistry 💙💉🦠💉🦠💉🦠,False,"{'followers_count': 404, 'following_count': 1158, 'tweet_count': 2510, 'listed_count': 0}",,
46992685.0,raachelll_xo,,https://pbs.twimg.com/profile_images/1407782264310841348/051U_eDT_normal.jpg,"South Shore, Mass",False,"All Black Lives Matter, ACAB, etc {she/her; white person who bathes}",Bad Timeline Rachel,False,"{'followers_count': 432, 'following_count': 630, 'tweet_count': 51812, 'listed_count': 0}",4.1338386943051776e+17,
2335731814.0,ins_inromo77,,https://pbs.twimg.com/profile_images/432893555884195840/-8UoW3Kl_normal.jpeg,,False,,Inés Rodríguez Moya,False,"{'followers_count': 7, 'following_count': 135, 'tweet_count': 112, 'listed_count': 0}",,
523837899.0,josephd777,,https://pbs.twimg.com/profile_images/1895221836/image_normal.jpg,"Pearl, MS",False,"Worked with numbers, loves to read words.",Jody Holmes,False,"{'followers_count': 31, 'following_count': 23, 'tweet_count': 77, 'listed_count': 0}",,
3386594475.0,beeretseq,https://t.co/RtUwKnTlng,https://pbs.twimg.com/profile_images/1011300279285792768/GrLiI4Kb_normal.jpg,"Toronto, Ontario",False,"Former lawyer writing on beer, food, and spirits at my website and for journals + mags. Website: https://t.co/RtUwKnTlng",Gary Gillman,False,"{'followers_count': 1314, 'following_count': 3043, 'tweet_count': 11922, 'listed_count': 57}",1.5236417533201818e+18,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/RtUwKnTlng', 'expanded_url': 'http://www.beeretseq.com', 'display_url': 'beeretseq.com'}]}, 'description': {'urls': [{'start': 97, 'end': 120, 'url': 'https://t.co/RtUwKnTlng', 'expanded_url': 'http://www.beeretseq.com', 'display_url': 'beeretseq.com'}]}}"
1.2311225461850767e+18,solucancantas,,https://pbs.twimg.com/profile_images/1328768195268927488/CcKihFF5_normal.jpg,,False,pediatristimsi 🧸,beeyza the annesi,False,"{'followers_count': 74, 'following_count': 153, 'tweet_count': 310, 'listed_count': 0}",,
1.4990117434521027e+18,mikazukiticket,,https://pbs.twimg.com/profile_images/1499020834740240386/pXNrmurs_normal.jpg,,False,,つ,False,"{'followers_count': 0, 'following_count': 26, 'tweet_count': 73, 'listed_count': 0}",,
7.704163219180134e+17,icebathbass,https://t.co/Zld2QWOECf,https://pbs.twimg.com/profile_images/1511170937953132555/jKH88F6p_normal.jpg,he/they || 18 || IL,False,#AWSTEN: your fit’s dope || fan account,captain finn 4 88,False,"{'followers_count': 1220, 'following_count': 1391, 'tweet_count': 52881, 'listed_count': 45}",1.480284179279532e+18,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Zld2QWOECf', 'expanded_url': 'http://unusannus.com', 'display_url': 'unusannus.com'}]}, 'description': {'hashtags': [{'start': 0, 'end': 7, 'tag': 'AWSTEN'}]}}"
1.109489822446637e+18,wileyspellman,,https://pbs.twimg.com/profile_images/1507709016969035778/PLf7CYKy_normal.jpg,,False,i don't move on sundays,silvia ♡,False,"{'followers_count': 466, 'following_count': 660, 'tweet_count': 47369, 'listed_count': 8}",1.3849248948661658e+18,
23006524.0,EmilyWYLo,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,False,,Emily Lo,False,"{'followers_count': 9, 'following_count': 27, 'tweet_count': 518, 'listed_count': 1}",,
1618750952.0,giggygiggygiggy,,https://pbs.twimg.com/profile_images/1435241987087732740/EwtAF2K5_normal.jpg,"Lebanon, NH",False,"She/Her. CRNA, MSN. If you're loved by someone, you're never rejected. Decide what to be, and go be it! --Avett Brothers",GassingGiggy,False,"{'followers_count': 101, 'following_count': 332, 'tweet_count': 1406, 'listed_count': 1}",,
1483465207.0,DanielTLogue,https://t.co/MKBK68PUNj,https://pbs.twimg.com/profile_images/1478052584841564162/xxPKpIng_normal.jpg,"Seal Beach, CA",False,"Husband, Dad, Software Developer for Orderwave",Daniel Logue ⚡,False,"{'followers_count': 26, 'following_count': 195, 'tweet_count': 138, 'listed_count': 4}",,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/MKBK68PUNj', 'expanded_url': 'http://daniellogue.com/', 'display_url': 'daniellogue.com'}]}}"
2306404673.0,bryan_fleitas,,https://pbs.twimg.com/profile_images/1197250214018605056/lBhKOdW4_normal.jpg,,False,,Bryan Fleitas,False,"{'followers_count': 487, 'following_count': 360, 'tweet_count': 15628, 'listed_count': 2}",,
1726821876.0,emdepad,https://t.co/psQQ6uez2C,https://pbs.twimg.com/profile_images/1521999388628893696/ZvRpRzpy_normal.jpg,New Jersey,False,she/her/hers 🇵🇭 Data Analyst @DisneyStreaming. Tableau Public Featured Author ‘21. 2x Iron Viz Global Qualifier Runner Up. all my own views & antics 💭,Emily De Padua 📊💻,False,"{'followers_count': 600, 'following_count': 908, 'tweet_count': 1823, 'listed_count': 11}",1.5049223132880036e+18,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/psQQ6uez2C', 'expanded_url': 'https://www.emilydepadua.com/', 'display_url': 'emilydepadua.com'}]}, 'description': {'mentions': [{'start': 29, 'end': 45, 'username': 'DisneyStreaming'}]}}"
358572149.0,_VertedIntro,https://t.co/DT5MSXm0NT,https://pbs.twimg.com/profile_images/1360083670829305856/UGe8Fqz2_normal.jpg,"Somewhere, Somehow",False,"Colotti, Chris. Jesus saved me, New York raised me. Full-time Jedi, part-time Superhero. God's artist player, Mod for NRGJoeWow. KYEOTB. #PLP||-//",=-= _VertedIntro,False,"{'followers_count': 441, 'following_count': 341, 'tweet_count': 39465, 'listed_count': 5}",1.4773437409687757e+18,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/DT5MSXm0NT', 'expanded_url': 'https://linktr.ee/_ChrisColotti_', 'display_url': 'linktr.ee/_ChrisColotti_'}]}, 'description': {'hashtags': [{'start': 137, 'end': 141, 'tag': 'PLP'}]}}"
7.232673212596797e+17,pyxieshmyxie,,https://pbs.twimg.com/profile_images/729793793512235009/AAqFtGvm_normal.jpg,"California, USA",False,Political junkie. Educator. USMC Vet. iPhone photographer. YOGI & EARTH LOVER. PsuedoTherapist. she/her #resist. OPINIONS ARE MINE.,4X4 🏜YOGI 🧘‍♀️,False,"{'followers_count': 1997, 'following_count': 4045, 'tweet_count': 23856, 'listed_count': 9}",1.3860188146602557e+18,"{'description': {'hashtags': [{'start': 104, 'end': 111, 'tag': 'resist'}]}}"
86438975.0,imranahsanmirza,https://t.co/1J26oOAqkk,https://pbs.twimg.com/profile_images/1510415287652614145/8j1ad8Pr_normal.jpg,"North Kellyville, Sydney",False,BE | MBA | MPM | Engineering Management | ITS | Business Leadership | Ahmadi Muslim | African | Pakistani | Australian | Humanity | Love | 🇦🇺🇳🇬🇵🇰,Imran Ahsan Mirza 🪃,False,"{'followers_count': 2512, 'following_count': 507, 'tweet_count': 56661, 'listed_count': 34}",1.413120892473733e+18,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/1J26oOAqkk', 'expanded_url': 'http://www.alislam.org', 'display_url': 'alislam.org'}]}}"
27387436.0,smartso,,https://pbs.twimg.com/profile_images/1509018559288324096/8ykbyxwJ_normal.jpg,,False,Citizen of the planet Earth. Dog lover & Cat trainer. BinJin stan.,PrettyNoona 💕,False,"{'followers_count': 64, 'following_count': 89, 'tweet_count': 488, 'listed_count': 0}",,
342872328.0,LyricalWiccan14,https://t.co/kVGG2GzeHd,https://pbs.twimg.com/profile_images/1499929412707536904/G-yy0sT2_normal.jpg,"Morris, IL",False,"Gamer, Tattoo addict, Streamer Supporter 🎮😸🔮",Ninjette,False,"{'followers_count': 116, 'following_count': 319, 'tweet_count': 654, 'listed_count': 0}",,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/kVGG2GzeHd', 'expanded_url': 'http://twitch.tv/ninjette14', 'display_url': 'twitch.tv/ninjette14'}]}}"
2272187661.0,_shidalgo,,https://pbs.twimg.com/profile_images/1514425105492946946/WeTK-mlK_normal.jpg,NY,False,at peace but i keep violence in my back pocket. leave me alone. ig: shantellhv_,s.,False,"{'followers_count': 2747, 'following_count': 621, 'tweet_count': 97732, 'listed_count': 6}",1.4300065299236332e+18,
903987013.0,UnderMurloc,,https://pbs.twimg.com/profile_images/1425738830854959111/SP7CPlk1_normal.jpg,En mi vida,False,"♥️ rol🎲🌕
disfrutar de mis amigos y pasarlo bien",Fer🎃,False,"{'followers_count': 116, 'following_count': 71, 'tweet_count': 31347, 'listed_count': 7}",,
4812929855.0,bwayrouge,https://t.co/ffjroMA9B4,https://pbs.twimg.com/profile_images/1522828572049608704/wpXKqZWB_normal.jpg,she/her | 19 | australia,False,"#SATINE: you crazy fool, i won’t give in to you !! @mtbymuscato",tamsyn 🍂,False,"{'followers_count': 2871, 'following_count': 2094, 'tweet_count': 27826, 'listed_count': 54}",1.2105528636817244e+18,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ffjroMA9B4', 'expanded_url': 'https://curiouscat.me/bwayrouge', 'display_url': 'curiouscat.me/bwayrouge'}]}, 'description': {'hashtags': [{'start': 0, 'end': 7, 'tag': 'SATINE'}], 'mentions': [{'start': 51, 'end': 63, 'username': 'mtbymuscato'}]}}"
