id,verified,description,protected,url,public_metrics,entities,location,profile_image_url,pinned_tweet_id,name,username
135915457.0,False,"シーランド公国伯爵 元人間中心設計スペシャリスト SW-3726-6789-7475
https://t.co/fh6OaQk2GP",False,https://t.co/BJJ0oV4bgw,"{'followers_count': 761, 'following_count': 745, 'tweet_count': 40796, 'listed_count': 24}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/BJJ0oV4bgw', 'expanded_url': 'https://toofu.net', 'display_url': 'toofu.net'}]}, 'description': {'urls': [{'start': 43, 'end': 66, 'url': 'https://t.co/fh6OaQk2GP', 'expanded_url': 'http://amzn.asia/3M5nC1X', 'display_url': 'amzn.asia/3M5nC1X'}]}}",こちら側,https://pbs.twimg.com/profile_images/885486064378322945/IDEP0m0d_normal.jpg,,人生,toofu__
115291702.0,False,"Happy, Free, Confused & Lonely at the same time | She/Her | Swiftie | Feminist | Ally | hater of CATS: the musical",False,,"{'followers_count': 155, 'following_count': 515, 'tweet_count': 17796, 'listed_count': 5}",,📍Ohio  |  💛NYC 🗽& FL 🏰,https://pbs.twimg.com/profile_images/1373816333985583106/2smLGYZ7_normal.jpg,1.3886202690367406e+18,Timothee Chalamet hate account,OhSnapSarah_xo
47503688.0,False,"husband to a great wife and father to 2 wonderful kids, senior pga tour wanna-be ,professional lawn mower and weedeater,dentist, motorcycle rider,cigars",False,,"{'followers_count': 182, 'following_count': 388, 'tweet_count': 1484, 'listed_count': 0}",,"Madison, WV",https://pbs.twimg.com/profile_images/554831403008151552/l-wm5UFw_normal.jpeg,,Kip Howell,loudmd
36653360.0,False,US/UK TV Drama enthusiast. 海外ドラマ、SF、スタートレック、模型、誤字脱字ななど。信仰はゲイツ教徒Microsoft派。,False,http://t.co/0LtOO0OKUL,"{'followers_count': 585, 'following_count': 468, 'tweet_count': 51565, 'listed_count': 38}","{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/0LtOO0OKUL', 'expanded_url': 'http://farsite.hatenablog.com/', 'display_url': 'farsite.hatenablog.com'}]}}","Setagaya-ku, Tokyo",https://pbs.twimg.com/profile_images/378800000784754773/9f50551ad81edc7b8e4425d1cfd79a64_normal.png,,Gasoline,debabocho
1549958095.0,False,,False,,"{'followers_count': 53, 'following_count': 77, 'tweet_count': 981, 'listed_count': 0}",,,https://pbs.twimg.com/profile_images/477006763087388673/fvX3ZXRV_normal.jpeg,,Kaushik Gohain,Kaushik_Gohain
1352787451.0,False,クルマのプラモを何となく弄ってるブログ「サガミノクニノモータース」の概念の方。 へなちょこおっさん慇懃尾籠モデラー。  フォロー･リムーブはお気軽にどうぞー。 フォロー返しは直感で超適当でございますです。,False,https://t.co/zE5mLWoGjB,"{'followers_count': 330, 'following_count': 182, 'tweet_count': 28114, 'listed_count': 3}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/zE5mLWoGjB', 'expanded_url': 'https://sagaminokuninomotors.blog.fc2.com/', 'display_url': 'sagaminokuninomotors.blog.fc2.com'}]}}",相模国,https://pbs.twimg.com/profile_images/1033565045018353665/ddamcUcT_normal.jpg,,さんさんろく,SGMmotors_336
153921215.0,False,Don't be a hard rock when you really are a gem. 🐘 Mother to over 60 plants 🪴 | IU Alumna |  IG: peaceofmind__,False,,"{'followers_count': 639, 'following_count': 687, 'tweet_count': 86590, 'listed_count': 3}",,Indy,https://pbs.twimg.com/profile_images/1521124396915642374/Xhu-qDU-_normal.jpg,1.1161338947163054e+18,Angela.,PeaceOfMind__
131251768.0,False,Toujours prêt pour l'aventure,False,,"{'followers_count': 81, 'following_count': 1145, 'tweet_count': 2634, 'listed_count': 2}",,Nulle part et Partout,https://pbs.twimg.com/profile_images/1206844901889118208/XDCvp6Yt_normal.jpg,7.238926623156797e+17,Nester,NeStErKM
844750884.0,False,My job keeps me moving from one place to another in India 🇮🇳😎,False,,"{'followers_count': 10, 'following_count': 90, 'tweet_count': 178, 'listed_count': 0}",,"North 24 Parganas, West Bengal",https://pbs.twimg.com/profile_images/1520741581648965632/aaWtq_UF_normal.jpg,1.5196824697499443e+18,Pintu Mullah,pintumullah
291656725.0,False,#ATATÜRK #NeMutluTürkümDiyene! #GALATASARAY #MaxVerstappen,False,,"{'followers_count': 853, 'following_count': 1221, 'tweet_count': 14242, 'listed_count': 1}","{'description': {'hashtags': [{'start': 0, 'end': 8, 'tag': 'ATATÜRK'}, {'start': 9, 'end': 29, 'tag': 'NeMutluTürkümDiyene'}, {'start': 31, 'end': 43, 'tag': 'GALATASARAY'}, {'start': 44, 'end': 58, 'tag': 'MaxVerstappen'}]}}",ATATÜRK,https://pbs.twimg.com/profile_images/1506133174891552768/oLsaYfEo_normal.jpg,1.1713414907124326e+18,OsmanAga🧡♥️,MetinArcan
