,username,url,profile_image_url,location,id,verified,description,name,protected,public_metrics,pinned_tweet_id,entities
38,butterdog_1105,https://t.co/exfpHu6TzC,https://pbs.twimg.com/profile_images/1304338977881649152/8ZBHfhWh_normal.jpg,犬小屋,294191880,False,"おえかきしたり寝たりするしがない飼い犬🐶　主に名無しという狼っぽいなにかを描いています　長門と天龍ちゃんとMEIKOとブリガロンと時子さんと下ネタ大好き　アホですが成人済　空リプﾏﾝ　ｺﾘｽﾊﾝﾀｰ🐿
ななしグッズはじめました→https://t.co/jVi96PGhmW
https://t.co/N7Ytqi4Jta",濃厚クリームがけワンコ🍖いぬ,False,"{'followers_count': 411, 'following_count': 670, 'tweet_count': 37641, 'listed_count': 13}",946404118637174784,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/exfpHu6TzC', 'expanded_url': 'http://twpf.jp/butterdog_1105', 'display_url': 'twpf.jp/butterdog_1105'}]}, 'description': {'urls': [{'start': 114, 'end': 137, 'url': 'https://t.co/jVi96PGhmW', 'expanded_url': 'http://butterdog1105.booth.pm', 'display_url': 'butterdog1105.booth.pm'}, {'start': 138, 'end': 161, 'url': 'https://t.co/N7Ytqi4Jta', 'expanded_url': 'http://suzuri.jp/butterdo', 'display_url': 'suzuri.jp/butterdo'}]}}"
39,trrdora93108266,,https://pbs.twimg.com/profile_images/1518547437140733953/Ls2UYIrg_normal.jpg,,1225313833,False,無害な希・果南推し。スクフェス・スクスタ・メギド・アークナイツ　などなど。,おぶつるる,False,"{'followers_count': 610, 'following_count': 1017, 'tweet_count': 149869, 'listed_count': 25}",1518547784613634048,
40,christinelfield,,https://pbs.twimg.com/profile_images/492266223581687808/yX6RlJED_normal.jpeg,"New South Wales, Australia",302431839,False,Mum & Grandma. CA. Staff of @badbadleroybrowneds. Science matters. Empathy matters. Idiocy blocked.,Christine Field,False,"{'followers_count': 49, 'following_count': 482, 'tweet_count': 462, 'listed_count': 2}",,"{'description': {'mentions': [{'start': 28, 'end': 48, 'username': 'badbadleroybrowneds'}]}}"
41,sweetsoulbobby,,https://pbs.twimg.com/profile_images/1299183190439899137/8340LAWn_normal.jpg,今池の近く,4597681993,False,"椎名林檎とあずきバー

OTK of AZK

アラ還

頑張らない美学

リタイアしたら演奏活動再開",ぼび,False,"{'followers_count': 1090, 'following_count': 978, 'tweet_count': 34856, 'listed_count': 5}",1095637688051412992,
42,mmmmMARImmmm,,https://pbs.twimg.com/profile_images/1028308484/j3_normal.JPG,Tokyo,154336001,False,日記とオフ実況が主です。教える仕事をしています。hula、ピアノ、読書（Dahl、友井羊など）。,mmmm(MARI)（真理）,False,"{'followers_count': 1111, 'following_count': 901, 'tweet_count': 9693, 'listed_count': 19}",,
43,Sf90Engine,,https://pbs.twimg.com/profile_images/1492533077758955523/3c5JNf_7_normal.jpg,Sf-90,1301168929398837248,False,19.Tifosi Yıldırım Tugayı Komutanı,Hileli Ferrari Motoru,False,"{'followers_count': 131, 'following_count': 114, 'tweet_count': 7693, 'listed_count': 1}",1519819456368816129,
44,MichaelELynch,https://t.co/mm2vW8VSE5,https://pbs.twimg.com/profile_images/486220941240721408/lcvQjTX7_normal.jpeg,United States,408767610,False,"Father of 3 great kids. Husband of remarkable woman. Historian. 2xIronman Triathlete. Soldier. Son, Husband, and Father of Soldiers.","Michael E. Lynch, PhD 🇺🇦",False,"{'followers_count': 106, 'following_count': 414, 'tweet_count': 1180, 'listed_count': 0}",,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/mm2vW8VSE5', 'expanded_url': 'https://michaelelynch.com', 'display_url': 'michaelelynch.com'}]}}"
45,SMKP_Films,,https://pbs.twimg.com/profile_images/767196048053993472/TJFmXuZX_normal.jpg,"Hamilton, Ontario Canada",769349388,False,"Filmmaker, Father, Husband, Lover of all things Sci-Fi and Coffee!",Bogdan Orlic 🇨🇦,False,"{'followers_count': 615, 'following_count': 1141, 'tweet_count': 57879, 'listed_count': 160}",,
46,BadWolf2022,,https://pbs.twimg.com/profile_images/1500636833947996163/ccPhqLgy_normal.jpg,,1492320710152310784,False,Supporting the blue wave.  #toy,Bad Wolf,False,"{'followers_count': 3, 'following_count': 37, 'tweet_count': 488, 'listed_count': 0}",,"{'description': {'hashtags': [{'start': 27, 'end': 31, 'tag': 'toy'}]}}"
47,avocachaengmina,,https://pbs.twimg.com/profile_images/1491762099001126914/l6FxuubB_normal.jpg,,820205344940924928,False,main acc & fan acc | Red (Taylor's Version) OUT NOW!,Rυɳҽɾυ 🧣 | (Taylor's Version),False,"{'followers_count': 280, 'following_count': 278, 'tweet_count': 15713, 'listed_count': 1}",1124295491963932673,
