,entities,verified,description,profile_image_url,public_metrics,url,username,id,name,protected,location,pinned_tweet_id
127896590,,False,,https://pbs.twimg.com/profile_images/1010812992307580928/cuo-q1SB_normal.jpg,"{'followers_count': 354, 'following_count': 939, 'tweet_count': 3344, 'listed_count': 4}",,andygy81,,Andy,False,red side of manchester,
1010498288905097219,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/gAHiSiVsa7', 'expanded_url': 'https://qiita.com/ykeiko', 'display_url': 'qiita.com/ykeiko'}]}}",False,いつも何かの1年生📛新卒半年で外資PMやったり色々と人生がネタな人/Python/Django Girls/前処理/物理/天文/日本言語学会夏期講座2018いたよ/ことば何でも好き/洋ロックとか/SHIROBAKO,https://pbs.twimg.com/profile_images/1010498553263734786/29J8-MLg_normal.jpg,"{'followers_count': 225, 'following_count': 420, 'tweet_count': 1533, 'listed_count': 4}",https://t.co/gAHiSiVsa7,madok_s,,まどか(す) | 徐々にお仕事モード,False,カントー,1476531644140245003
962791182609911808,,False,"Quando il governo viola i diritti del popolo, l'insurrezione è, per il popolo e ogni sua parte, il più sacro dei diritti e il più indispensabile dei doveri",https://pbs.twimg.com/profile_images/983726752269852674/VHW87g63_normal.jpg,"{'followers_count': 1058, 'following_count': 993, 'tweet_count': 50866, 'listed_count': 1}",,dantecorneli,,Dante Corneli ☭,False,,1004017801034596352
967130977,,False,,https://pbs.twimg.com/profile_images/1013577564475068417/qBT-o-7d_normal.jpg,"{'followers_count': 38, 'following_count': 252, 'tweet_count': 293, 'listed_count': 1}",,david6gg,,6,False,,836181571036135424
2651107740,,False,a mess of gorgeous chaos,https://pbs.twimg.com/profile_images/1502306033150017536/xl7mhxXy_normal.jpg,"{'followers_count': 283, 'following_count': 148, 'tweet_count': 4932, 'listed_count': 0}",,harlenecabalhug,,H,False,"Cebu City, PH",
45912841,"{'description': {'mentions': [{'start': 23, 'end': 32, 'username': 'SFGiants'}, {'start': 34, 'end': 40, 'username': '49ers'}, {'start': 45, 'end': 54, 'username': 'warriors'}]}}",False,"I live for travel. The @SFGiants, @49ers and @warriors are my trinity. I am a Dorothy Parker fangirl and that explains all.",https://pbs.twimg.com/profile_images/842464309976289280/NwGp0qhY_normal.jpg,"{'followers_count': 381, 'following_count': 1040, 'tweet_count': 4466, 'listed_count': 7}",,lauriesf,,Laurie SF,False,San Francisco,
2336477362,,False,"I'm a knitting 'person' 
Usually inhebriedrunk but not dropping a stitch.
Crisps, olives, whisky, lager and here.
I know... I'm in your dreams.",https://pbs.twimg.com/profile_images/1487556563615326217/50KpU6Hb_normal.jpg,"{'followers_count': 811, 'following_count': 875, 'tweet_count': 28942, 'listed_count': 0}",,LinzIsLinz,,🐞Nanna Nailing It🐞,False,"Yorkshire, England, UK",1022225940724809744
20458503,"{'description': {'mentions': [{'start': 22, 'end': 34, 'username': 'Springsteen'}, {'start': 37, 'end': 44, 'username': 'manutd'}, {'start': 48, 'end': 64, 'username': 'wiganwarriorsrl'}]}}",False,This is me trying. ✌️ @Springsteen 🎸 @manutd ⚽️ @wiganwarriorsrl 🏉 She/her.,https://pbs.twimg.com/profile_images/1507388593597259792/3sQSo8bQ_normal.jpg,"{'followers_count': 1159, 'following_count': 4009, 'tweet_count': 79027, 'listed_count': 38}",,cfleetshuffle,,Carpe Fliem,False,"Yorkshire and The Humber, Engl",1477228603335233537
824229016047677440,,False,"Editor | writer | pun apologist

Opinions are NOT my own. They are those of an 87 year-old Mongolian woman from Ulaanbaatar. So blame her if you don't like it.",https://pbs.twimg.com/profile_images/1292177902994436096/9wu-RzRQ_normal.jpg,"{'followers_count': 157, 'following_count': 620, 'tweet_count': 8171, 'listed_count': 0}",,NojTheCynic,,Johnny Lounger,False,Right here,1014646077465735172
262703856,,False,Tele comm engineer,https://pbs.twimg.com/profile_images/1349120291239292930/RBdeGgKg_normal.jpg,"{'followers_count': 34, 'following_count': 206, 'tweet_count': 226, 'listed_count': 0}",,Paulxjr69,,Paul davis,False,"South London
",
