id,description,url,name,profile_image_url,public_metrics,location,verified,username,entities,pinned_tweet_id,protected,withheld
1195321401877643264,"Vietnam vet, boat jockey, politics junkie; sports fan, outdoorsman, joyful granddad and father.",,WhimsyWarrior,https://pbs.twimg.com/profile_images/1227922990882590721/X8PwzENp_normal.jpg,"{'followers_count': 258, 'following_count': 405, 'tweet_count': 3120, 'listed_count': 0}",,False,WhimzyWarrior,,,False,
559314971,屁理屈推理合戦？まるで将棋だな 将棋/LoL/汝は人狼なりや？/コントラクトブリッジ/mtgアリーナ/モダン【白黒ブリンク】【赤白果敢】【緑単信心】,,じょん,https://pbs.twimg.com/profile_images/1081602638817329152/YufS4rxq_normal.jpg,"{'followers_count': 155, 'following_count': 232, 'tweet_count': 4195, 'listed_count': 2}",黄金郷,False,John_toufu,,1.32507979875072e+18,False,
53600325,Manufacturing Engineer.  Army Engineer Officer. Views are my own.,,Aaron Malerich,https://pbs.twimg.com/profile_images/866312846761746434/QJzJLpf9_normal.jpg,"{'followers_count': 395, 'following_count': 2672, 'tweet_count': 15421, 'listed_count': 26}","Lafayette, IN USA",False,AaronM1978,,,False,
548378571,本場のカレーって美味しいね。8と11と48手と69！,https://t.co/lkm6ddxXtm,現実逃避にイタリア,https://pbs.twimg.com/profile_images/498105719330066433/iJ48Zue1_normal.jpeg,"{'followers_count': 292, 'following_count': 793, 'tweet_count': 22650, 'listed_count': 4}",Istanbul,False,079Hide,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/lkm6ddxXtm', 'expanded_url': 'https://www.youtube.com/watch?v=pXAk-CT19Wc', 'display_url': 'youtube.com/watch?v=pXAk-C…'}]}}",,False,
16453495,Graphic Designer | U know how long I been on ya? Since Prince was on Apollonia. she/her,,CarBeatle,https://pbs.twimg.com/profile_images/1502483076/download_normal.jpg,"{'followers_count': 177, 'following_count': 1150, 'tweet_count': 15361, 'listed_count': 9}",IL,False,CarBeatle,,934596232.0,False,
1232427470990823424,,,Jack lewis,https://pbs.twimg.com/profile_images/1487759953020563456/WszW67bb_normal.jpg,"{'followers_count': 63, 'following_count': 392, 'tweet_count': 1484, 'listed_count': 0}","Bristol, England",False,Jacklewis931,,1.3584780237801595e+18,False,
510657814,"Gastronomía para pensar. Vinos, destilados, cocteles, gastronomía, recetas, libros, viajes, pecados, cultura y estilo de vida. Esnobismo. Punto.",http://t.co/CnecKS82wX,Esnobismo gourmet,https://pbs.twimg.com/profile_images/1865275634/wine-snob_normal.jpg,"{'followers_count': 11430, 'following_count': 7440, 'tweet_count': 35145, 'listed_count': 192}",Caracas,False,Esnobgourmet,"{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/CnecKS82wX', 'expanded_url': 'http://esnobgourmet.com/', 'display_url': 'esnobgourmet.com'}]}}",1.5212524817407263e+18,False,
16828338,"Dean of Women, Southwestern Seminary https://t.co/Uz5hxJP5O9 (Follow/RT does not equal endorsement)",https://t.co/IYyW1jMyzq,Terri Stovall,https://pbs.twimg.com/profile_images/1080608088288362496/fGhL0ytw_normal.jpg,"{'followers_count': 1346, 'following_count': 722, 'tweet_count': 3290, 'listed_count': 21}","Arlington, TX",False,thstovall,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/IYyW1jMyzq', 'expanded_url': 'http://terristovall.net', 'display_url': 'terristovall.net'}]}, 'description': {'urls': [{'start': 37, 'end': 60, 'url': 'https://t.co/Uz5hxJP5O9', 'expanded_url': 'http://www.swbts.edu/women', 'display_url': 'swbts.edu/women'}]}}",,False,
999149146429906944,"Foxes! Hockey!
Phil Kessel is my president. 
Crosby is GOAT. 
@penguins forever #LetsGoPens #HBK",,Freedom!,https://pbs.twimg.com/profile_images/1467557637374021642/DF1iFrOq_normal.jpg,"{'followers_count': 323, 'following_count': 427, 'tweet_count': 57408, 'listed_count': 4}",,False,foxesandhockey,"{'description': {'hashtags': [{'start': 80, 'end': 91, 'tag': 'LetsGoPens'}, {'start': 92, 'end': 96, 'tag': 'HBK'}], 'mentions': [{'start': 62, 'end': 71, 'username': 'penguins'}]}}",1.4593070252933612e+18,False,
1161459991334670336,연🧡💙 옌💛 | 🌞🌜| 승쯔 2405% | 🎮💕 | 🍰💥,,C$¥N​,https://pbs.twimg.com/profile_images/1395412410010198019/2f_tjW6l_normal.jpg,"{'followers_count': 23, 'following_count': 28, 'tweet_count': 48933, 'listed_count': 0}",🌻🦋 | 960805.990929 ,False,vanivaniix,,1.3762034775383327e+18,False,
