id,context_annotations,source,author_id,lang,possibly_sensitive,text,conversation_id,created_at,public_metrics,reply_settings,geo,referenced_tweets,in_reply_to_user_id,entities,attachments
1521664872445988864,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter Web App,1106448416052113408,en,False,"Wordle 319 6/6

⬛🟩⬛🟨⬛
⬛🟩🟩⬛⬛
⬛🟩🟩⬛⬛
⬛🟩🟩⬛⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",1521664872445988864,2022-05-04T01:35:51.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1521664871385165830,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,897447428,en,False,"Wordle 319 4/6

⬛🟩⬛🟨⬛
⬛🟩🟩🟨⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",1521664871385165830,2022-05-04T01:35:51.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1521664860597080066,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,526864043,en,False,"Wordle 319 5/6

⬜⬜🟨⬜⬜
⬜🟨⬜⬜🟨
🟩⬜🟨⬜⬜
⬜🟨🟩🟩🟨
🟩🟩🟩🟩🟩",1521664860597080066,2022-05-04T01:35:48.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1521664859255066625,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,43690585,en,False,"Eeeehhhh!!! :D

Wordle Tildes #64 6/6

⬜⬜⬜🟨⬜⬜⬜
⬜🟨⬜⬜⬜⬜⬜
⬜⬜⬜🟨⬜⬜🟩
⬜⬜⬜⬜⬜⬜⬜
⬜🟨🟨⬜🟩⬜🟩
🟩🟩🟩🟩🟩🟩🟩
 https://t.co/0L6GXUYeR0",1521664859255066625,2022-05-04T01:35:48.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,"{'urls': [{'start': 88, 'end': 111, 'url': 'https://t.co/0L6GXUYeR0', 'expanded_url': 'https://wordle.danielfrg.com/tildes/index.html', 'display_url': 'wordle.danielfrg.com/tildes/index.h…'}]}",
1521664848098390016,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter Web App,67240055,en,False,"You can hear the whistle blow a 100 miles
Lord I'm 1 Lord I'm 2
Lord I'm 3 Lord I'm 4
Lord I'm 500 miles away from home
Away from home away from home
Away from home away from home
Lord I'm 500 miles away from home...

Wordle 319 3/6
⬛⬛⬛🟩⬛
⬛⬛⬛🟩🟩
🟩🟩🟩🟩🟩",1521664848098390016,2022-05-04T01:35:45.000Z,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 6, 'quote_count': 0}",everyone,,,,,
1521664821766152192,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,382409474,en,False,"Wordle 319 5/6

🟩⬛🟩⬛⬛
🟩⬛🟩🟨⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",1521664821766152192,2022-05-04T01:35:39.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1521664814904672256,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,1272547750270337031,en,False,"Wordle 319 3/6

⬛⬛🟩⬛⬛
⬛🟩🟩🟨⬛
🟩🟩🟩🟩🟩",1521664814904672256,2022-05-04T01:35:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1521664807530860544,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,1072710823007698944,es,False,"Ni sé que es :s
Wordle (ES)  #117 6/6

⬜⬜⬜🟨🟩
⬜⬜🟨⬜🟩
⬜🟩⬜⬜🟩
🟨🟩⬜⬜🟩
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩
 https://t.co/zEdxjV6gQ7",1521664807530860544,2022-05-04T01:35:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,"{'urls': [{'start': 76, 'end': 99, 'url': 'https://t.co/zEdxjV6gQ7', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",
1521664796759715840,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,67844066,en,False,"Wordle 319 4/6

🟨⬛⬛🟩⬛
⬛🟩⬛🟨🟨
⬛🟩🟨🟨🟨
🟩🟩🟩🟩🟩",1521664796759715840,2022-05-04T01:35:33.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1521664788560060416,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter Web App,596684905,en,False,"Wordle 319 3/6

⬛🟩🟨🟨⬛
⬛⬛🟩⬛⬛
🟩🟩🟩🟩🟩",1519858874895028225,2022-05-04T01:35:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,"[{'type': 'replied_to', 'id': '1521318075139829761'}]",596684905,,
