id,conversation_id,reply_settings,lang,possibly_sensitive,source,public_metrics,text,context_annotations,author_id,created_at,entities,referenced_tweets,in_reply_to_user_id,attachments,geo
1521894372740153345,1521894372740153345,everyone,en,False,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle (ES) Unlimited 4/6

⬜🟩⬜⬜⬜
⬜⬜🟨🟨🟩
🟨🟩🟨⬜🟩
🟩🟩🟩🟩🟩

⬇️ ⬇️ ⬇️ ⬇️ ⬇️
https://t.co/UvK9K64Qro
⬆️ ⬆️ ⬆️ ⬆️ ⬆️

#Wordle #Wordle5 #WordleES #WordleEspañol #WordleUnlimited","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1487041251513880584,2022-05-04T16:47:48.000Z,"{'urls': [{'start': 67, 'end': 90, 'url': 'https://t.co/UvK9K64Qro', 'expanded_url': 'https://wordle.wekele.com', 'display_url': 'wordle.wekele.com'}], 'hashtags': [{'start': 107, 'end': 114, 'tag': 'Wordle'}, {'start': 115, 'end': 123, 'tag': 'Wordle5'}, {'start': 124, 'end': 133, 'tag': 'WordleES'}, {'start': 134, 'end': 148, 'tag': 'WordleEspañol'}, {'start': 149, 'end': 165, 'tag': 'WordleUnlimited'}]}",,,,
1521894362690502664,1521894362690502664,everyone,en,False,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 319 6/6
I clearly wasn’t paying any good attention 
⬛🟨🟩🟨⬛
⬛🟩⬛🟨⬛
⬛🟩🟩🟩🟩
⬛🟩🟩🟩🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",3215270537,2022-05-04T16:47:46.000Z,,,,,
1521894353526042626,1521894353526042626,everyone,en,False,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 319 4/6

⬛🟩🟨⬛⬛
⬛🟩⬛🟨⬛
⬛🟩🟩🟩⬛
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",92502901,2022-05-04T16:47:43.000Z,,,,,
1521894350753796096,1521894350753796096,everyone,en,False,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","🤔
Wordle 320 5/6

⬜🟩🟨⬜🟨
🟩🟩⬜🟨⬜
🟩🟩⬜⬜🟩
🟩🟩⬜🟩🟩
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",985193666552541185,2022-05-04T16:47:43.000Z,,,,,
1521894340481626112,1521894340481626112,everyone,ja,False,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 320 5/6

⬜🟨🟨⬜⬜
🟨🟨⬜⬜🟨
⬜🟨🟨🟨⬜
🟩🟩⬜🟩🟩
🟩🟩🟩🟩🟩

やったー😆🎶","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2356174806,2022-05-04T16:47:40.000Z,,,,,
1521894324497453057,1521894324497453057,everyone,en,False,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 319 4/6

⬜⬜⬜⬜⬜
🟨🟩⬜🟩⬜
🟩⬜🟩⬜⬜
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",400118837,2022-05-04T16:47:37.000Z,,,,,
1521894324237127680,1521894324237127680,everyone,en,False,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 10, 'quote_count': 0}","Wordle 319 2/6

⬛🟩⬛🟨⬛
🟩🟩🟩🟩🟩
TOTAL GUESS!","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1404918564574871553,2022-05-04T16:47:36.000Z,,,,,
1521894320487469056,1521893838176067585,everyone,en,False,Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","Wordle 319 3/6

⬜⬜🟩⬜🟨
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",219296818,2022-05-04T16:47:36.000Z,,"[{'type': 'replied_to', 'id': '1521894108905750529'}]",219296818,,
1521894308210970624,1521894308210970624,everyone,en,False,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 320 6/6

⬜⬜⬜🟩⬜
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
⬜🟨🟨⬜🟨
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1625678364,2022-05-04T16:47:33.000Z,,,,,
1521894289936195586,1521894289936195586,everyone,pt,False,Twitter Web App,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","Wordle 319 6/6

⬜⬜⬜🟩⬜
⬜⬜🟨🟩⬜
⬜⬜🟩🟩🟩
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩
carai porra quase q nao foi","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1431763255,2022-05-04T16:47:28.000Z,,,,,
1521894285083389952,1521894285083389952,everyone,en,False,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 319 4/6

🟩⬜🟩🟨⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩
yo mama","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1083442903442178049,2022-05-04T16:47:27.000Z,,,,,
1521894282231259136,1521894282231259136,everyone,en,False,Twitter for iPad,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 319 2/6

🟨⬛⬛🟩⬛
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",4004551518,2022-05-04T16:47:26.000Z,,,,,
1521894279743827968,1521894279743827968,everyone,und,False,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","#Wordle 319 4/6

⬛🟩⬛🟨⬛
🟨🟩⬛⬛⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",194019715,2022-05-04T16:47:26.000Z,"{'hashtags': [{'start': 0, 'end': 7, 'tag': 'Wordle'}]}",,,,
