id,created_at,source,possibly_sensitive,lang,public_metrics,text,entities,conversation_id,reply_settings,author_id,context_annotations,in_reply_to_user_id,referenced_tweets,attachments,geo
1521704217752313857,2022-05-04T04:12:12.000Z,Twitter for Android,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 319 5/6

⬛🟩🟩⬛⬛
⬛🟩🟩⬛🟩
⬛🟩🟩🟩🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",,1521704217752313857,everyone,1325593921381146630,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521704215831355393,2022-05-04T04:12:11.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 319 3/6*

maybeeeee eye a genius

⬛⬛🟩⬛⬛
⬛⬛🟩⬛🟨
🟩🟩🟩🟩🟩",,1521704215831355393,everyone,1385033750711574536,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521704203533627393,2022-05-04T04:12:08.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Wordle 319 5/6

⬛⬛🟩⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩",,1521704203533627393,everyone,35477874,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521704202183094272,2022-05-04T04:12:08.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 319 5/6

⬛⬛⬛⬛🟩
⬛🟨🟩🟩🟩
⬛🟩🟩🟩🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",,1521704202183094272,everyone,787279304,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521704200396500993,2022-05-04T04:12:07.000Z,Twitter for iPhone,False,th,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","#wordle เดาได้ไว ไปได้เร็ว

Wordle 319 3/6

⬛🟨⬛🟨🟨
⬛🟨🟩🟩🟩
🟩🟩🟩🟩🟩

#thwordle พอรู้ตัวแรก ตัวท้าย และ 2 ตัวกลาง ก็นึกออกเลย

#Thwordle 106 3/6

🟨⬜⬜⬜🟨⬜
🟩⬜⬜🟨🟨🟩
🟩🟩🟩🟩🟩🟩","{'hashtags': [{'start': 0, 'end': 7, 'tag': 'wordle'}, {'start': 63, 'end': 72, 'tag': 'thwordle'}, {'start': 120, 'end': 129, 'tag': 'Thwordle'}]}",1503781804733792257,everyone,15662791,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",15662791,"[{'type': 'replied_to', 'id': '1521312558246146048'}]",,
1521704199943299072,2022-05-04T04:12:07.000Z,Twitterrific for iOS,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 319 3/6

⬛⬛⬛⬛⬛
🟩⬛🟨⬛🟨
🟩🟩🟩🟩🟩",,1521704199943299072,everyone,85901314,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521704185485533191,2022-05-04T04:12:04.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 7, 'quote_count': 0}","“Hey Boss, the …”

🟩⬜🟩🟨⬜
🟩🟩🟩🟩🟩

Wordle 319 2/6",,1521704185485533191,everyone,117907865,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521704180125163520,2022-05-04T04:12:03.000Z,Twitter for Android,False,en,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","Wordle 319 3/6
#Wordle319
⬜⬜⬜⬜⬜
⬜🟩⬜🟨🟨
🟩🟩🟩🟩🟩","{'hashtags': [{'start': 15, 'end': 25, 'tag': 'Wordle319'}]}",1521704180125163520,everyone,1268725510579933185,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521704176052588544,2022-05-04T04:12:02.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 319 4/6

⬜⬜⬜🟨⬜
⬜🟩🟩🟨⬜
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩",,1521704176052588544,everyone,1690123182,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521704172344819712,2022-05-04T04:12:01.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Wordle 319 3/6

🟩⬜🟩⬜⬜
🟩🟨🟩🟨⬜
🟩🟩🟩🟩🟩

Long day. Brain still working, apparently.",,1521704172344819712,everyone,992011398602510336,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
