id,context_annotations,source,entities,author_id,lang,possibly_sensitive,text,conversation_id,created_at,public_metrics,referenced_tweets,in_reply_to_user_id,reply_settings,geo,attachments
1522303416483131399,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,"{'hashtags': [{'start': 24, 'end': 31, 'tag': 'wordle'}]}",163648141,en,False,"WHAT THE HELL. Not cool #wordle
Wordle 320 X/6

🟨🟨⬛⬛⬛
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩",1522303416483131399,2022-05-05T19:53:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,everyone,,
1522303414453293056,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,,132851560,en,False,"Wordle 321 6/6

⬛⬛⬛🟨⬛
🟨🟩⬛⬛⬛
⬛⬛🟨⬛⬛
⬛⬛⬛⬛🟩
⬛⬛⬛🟩⬛
🟩🟩🟩🟩🟩",1522303414453293056,2022-05-05T19:53:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,everyone,,
1522303401773699072,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,,1214586228,en,False,"Wordle 320 X/6

⬛⬛⬛⬛🟨
⬛🟩⬛🟩⬛
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩

Aaaarrrrrgggghhh!",1522303401773699072,2022-05-05T19:53:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,,everyone,,
1522303376003895296,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,,2324983005,en,False,"Wordle 320 4/6

🟨🟩⬜🟩⬜
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",1522303376003895296,2022-05-05T19:53:02.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,everyone,,
1522303369888636930,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,"{'urls': [{'start': 55, 'end': 78, 'url': 'https://t.co/MYacfhcZCe', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com', 'images': [{'url': 'https://pbs.twimg.com/news_img/1521670739459411968/tTDycHOP?format=jpg&name=orig', 'width': 1200, 'height': 630}, {'url': 'https://pbs.twimg.com/news_img/1521670739459411968/tTDycHOP?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Un juego de palabras diario', 'description': 'Adivina la palabra oculta en 6 intentos. Un nuevo puzzle cada día.', 'unwound_url': 'https://wordle.danielfrg.com/'}]}",141567808,es,False,"Wordle volví con todo !!!
(ES)  #119 2/6

🟩⬜⬜🟨🟩
🟩🟩🟩🟩🟩
 https://t.co/MYacfhcZCe",1522303369888636930,2022-05-05T19:53:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,everyone,,
1522303359218184192,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,,28801741,en,False,"Wordle 321 5/6

⬛⬛⬛⬛⬛
⬛🟩⬛⬛🟨
🟨🟩⬛🟨⬛
⬛🟩⬛🟨🟨
🟩🟩🟩🟩🟩",1522303359218184192,2022-05-05T19:52:58.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,everyone,,
1522303357062426629,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,,9401152,en,False,"Wordle 320 4/6

⬜🟨⬜🟨⬜
🟨⬜🟩⬜⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",1522303357062426629,2022-05-05T19:52:58.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,everyone,,
1522303348351062016,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,,19587628,en,False,"I cheated, go me!

Wordle 321 2/6*

⬜🟩🟨⬜🟩
🟩🟩🟩🟩🟩",1522303348351062016,2022-05-05T19:52:55.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",,,everyone,,
1522303327404707840,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,"{'mentions': [{'start': 0, 'end': 16, 'username': 'ankush_saharan_', 'id': '1218927315947675648'}, {'start': 17, 'end': 29, 'username': 'TheEktaSahu', 'id': '1266767201937371139'}, {'start': 30, 'end': 43, 'username': 'SaharanKaran', 'id': '1002483231952863232'}]}",3232360728,en,False,"@ankush_saharan_ @TheEktaSahu @SaharanKaran Wordle 321 6/6

⬜⬜🟨🟨⬜
🟨⬜⬜🟨⬜
🟨⬜⬜⬜⬜
🟨⬜🟨🟨⬜
🟩⬜🟨🟨🟨
🟩🟩🟩🟩🟩
🤐",1522286130690940930,2022-05-05T19:52:50.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'type': 'replied_to', 'id': '1522286130690940930'}]",1218927315947675648,everyone,{'place_id': '317fcc4b21a604d5'},
1522303325299179520,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,,146102442,ja,False,"Wordle 321 5/6

🟨⬜🟨🟨⬜
🟨🟨⬜⬜🟩
🟩⬜🟨⬜⬜
🟩🟩🟨⬜🟩
🟩🟩🟩🟩🟩
なるほど",1522303325299179520,2022-05-05T19:52:50.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,everyone,,
