id,location,profile_image_url,description,name,public_metrics,url,pinned_tweet_id,protected,verified,username,entities
210523655.0,Panama,https://pbs.twimg.com/profile_images/1468975683254865920/3U3z7TRr_normal.jpg,"Orgullosa hija de Rebeca Barrios (Mamichy).
Consultora RRHH
Intolerante con la ignorancia.
Amante de leer 📖
#TeamMamichy",niki ramos,"{'followers_count': 634, 'following_count': 619, 'tweet_count': 10324, 'listed_count': 1}",,1.3232312894288445e+18,False,False,nikiramos28,"{'description': {'hashtags': [{'start': 108, 'end': 120, 'tag': 'TeamMamichy'}]}}"
2300346648.0,,https://pbs.twimg.com/profile_images/1435247450114121740/iHOv2yAc_normal.jpg,,Mati Tamares,"{'followers_count': 40, 'following_count': 99, 'tweet_count': 180, 'listed_count': 0}",,,False,False,MatiasTamares,
7.184801594817905e+17,SFO,https://pbs.twimg.com/profile_images/1363262722532470786/MuEsw1Ys_normal.jpg,Classic Tetris for Life. BTC address: 15zrpmq2LySV1eMAXmtgK3dQUSXdFDkxnG,Ivan GonZy,"{'followers_count': 31, 'following_count': 179, 'tweet_count': 973, 'listed_count': 0}",,,False,False,IvanGonzy,
188614218.0,"Tustin, CA",https://pbs.twimg.com/profile_images/1265427830151581696/eRHDlkpP_normal.jpg,musician. gamer.  check me out on Twitch!!!  https://t.co/vOFefAh9tF,Tony Ingreso,"{'followers_count': 176, 'following_count': 90, 'tweet_count': 4658, 'listed_count': 8}",https://t.co/krra5nir26,,False,False,sumazn707,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/krra5nir26', 'expanded_url': 'http://twitch.com/sumazn', 'display_url': 'twitch.com/sumazn'}]}, 'description': {'urls': [{'start': 45, 'end': 68, 'url': 'https://t.co/vOFefAh9tF', 'expanded_url': 'http://twitch.tv/sumazn', 'display_url': 'twitch.tv/sumazn'}]}}"
15283368.0,"Twin Cities, MN",https://pbs.twimg.com/profile_images/1167124291466514438/SR_bfjna_normal.png,"Geek, Otaku, Programmer Extraordinaire, Home Automation enthusiast, jRPGer, not to mention an all around nice person?",Kevin,"{'followers_count': 144, 'following_count': 219, 'tweet_count': 12007, 'listed_count': 12}",,,False,False,Ristance,
24776031.0,Hogwarts,https://pbs.twimg.com/profile_images/1514631803860135936/uk9BXpVF_normal.jpg,UPT GIRL. I’m fucking magical.⚜️,7th Letter.,"{'followers_count': 778, 'following_count': 685, 'tweet_count': 184266, 'listed_count': 8}",https://t.co/X8rjHbqury,1.5183808422209372e+18,False,False,allaboutmyguala,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/X8rjHbqury', 'expanded_url': 'http://backonmybullshit.com', 'display_url': 'backonmybullshit.com'}]}}"
89760610.0,La Palma / Sevilla,https://pbs.twimg.com/profile_images/1518871193528553473/mtCqqmTJ_normal.jpg,"Abogado y mediador.  Ahora, en defensa del trabajador Firma: ejuridicolapalma. Sevillano en La  Palma, La Isla Bonita. Solo el pueblo salva al pueblo.",SamuelLeónHdz💚🐧,"{'followers_count': 4167, 'following_count': 4970, 'tweet_count': 76369, 'listed_count': 43}",,,False,False,SamuSan25,
1.2083805314249523e+18,,https://pbs.twimg.com/profile_images/1519297484282994688/v44aUYLt_normal.jpg,iam human,AGR,"{'followers_count': 2, 'following_count': 45, 'tweet_count': 134, 'listed_count': 0}",,,False,False,ARGarani86,
482910139.0,Sevilla - España,https://pbs.twimg.com/profile_images/1498414118298075138/du92kMWL_normal.jpg,"Musico a tiempo parcial, el que me deja el trabajo que tengo que hacer para pagar las facturas.",Lolo-_-guitarra,"{'followers_count': 516, 'following_count': 3383, 'tweet_count': 13965, 'listed_count': 15}",https://t.co/g5b6aRbhKP,,False,False,ManuelCorderoRo,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/g5b6aRbhKP', 'expanded_url': 'https://www.facebook.com/#!/groups/malaspulgas/', 'display_url': 'facebook.com/#!/groups/mala…'}]}}"
781055148.0,,https://pbs.twimg.com/profile_images/1463806647202103296/aEsCag-P_normal.jpg,Ex Royal Navy ⚓️,Matthew Clement,"{'followers_count': 216, 'following_count': 385, 'tweet_count': 3155, 'listed_count': 1}",,1.511065500163453e+18,False,False,matthew_clems,
