id,profile_image_url,entities,url,public_metrics,username,protected,name,description,location,verified,pinned_tweet_id
1424525875215798272,https://pbs.twimg.com/profile_images/1494806553039413249/1ec7fVNQ_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/H5k3Wc5xvV', 'expanded_url': 'https://mangasee123.com/manga/One-Piece', 'display_url': 'mangasee123.com/manga/One-Piece'}]}, 'description': {'mentions': [{'start': 32, 'end': 43, 'username': 'rinnemegha'}]}}",https://t.co/H5k3Wc5xvV,"{'followers_count': 8, 'following_count': 7, 'tweet_count': 225, 'listed_count': 0}",sossoholics,False,ahgem 🎸,i thought you wanted to dance | @rinnemegha but the normal part,Going Merry,False,1.4903909874196685e+18
1061694927451631616,https://pbs.twimg.com/profile_images/1521478534467891201/Ha3deRx6_normal.jpg,,,"{'followers_count': 93, 'following_count': 101, 'tweet_count': 258, 'listed_count': 0}",sheyla_21__,False,Sheylo ;),🦥,"Valladolid, España",False,1.5114670324784701e+18
1511312265747873792,https://pbs.twimg.com/profile_images/1511312573118959623/r1T0xQn8_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/u0mvz1d7l0', 'expanded_url': 'https://allmylinks.com/breathewithmia', 'display_url': 'allmylinks.com/breathewithmia'}]}, 'description': {'hashtags': [{'start': 18, 'end': 28, 'tag': 'NiteFlirt'}]}}",https://t.co/u0mvz1d7l0,"{'followers_count': 38, 'following_count': 90, 'tweet_count': 80, 'listed_count': 0}",InhaleMia,False,Mommy Mia 💞,Breathewithmia on #NiteFlirt 💞,☀️🌴,False,
1428828771734466560,https://pbs.twimg.com/profile_images/1512528168871112708/nqhgHDJK_normal.jpg,"{'description': {'mentions': [{'start': 65, 'end': 73, 'username': 'ManCity'}]}}",,"{'followers_count': 191, 'following_count': 441, 'tweet_count': 2084, 'listed_count': 0}",Enzo20000000,False,Enzo🚂,⚪🔴⚪🐔⚽️ Que la gente crea 🏆 Demichelis es el sucesor de gallardo: @ManCity,,False,1.4726296851085476e+18
19128223,https://pbs.twimg.com/profile_images/71830457/AlaMoana_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/XI64Nm6ctJ', 'expanded_url': 'http://www.marcmcmillin.com', 'display_url': 'marcmcmillin.com'}]}}",https://t.co/XI64Nm6ctJ,"{'followers_count': 22, 'following_count': 220, 'tweet_count': 1102, 'listed_count': 1}",Chaos662,False,Marc McMillin,,"33.692525,-117.985905",False,
1059176914231926784,https://pbs.twimg.com/profile_images/1478405731800043526/QXkkcOhQ_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/M2n2td4Ggw', 'expanded_url': 'https://www.paypal.me/savannahcashx', 'display_url': 'paypal.me/savannahcashx'}]}}",https://t.co/M2n2td4Ggw,"{'followers_count': 114, 'following_count': 401, 'tweet_count': 15370, 'listed_count': 0}",savannahxcash,False,savannah 🧚🏼‍♂️,21 / 3rd year psych student 🧠,she/her,False,1.5138280395825275e+18
256582223,https://pbs.twimg.com/profile_images/646391853017886721/7lux0QLj_normal.jpg,,,"{'followers_count': 46, 'following_count': 83, 'tweet_count': 765, 'listed_count': 0}",zuckermatt,False,Matthias Zucker,is probably teaching... or writing... or making films... or geeking out,"Bochum, Germany",False,
345487060,https://pbs.twimg.com/profile_images/1498639880133488641/xpAQKdeK_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/rRH7Eg3Q45', 'expanded_url': 'https://glutendude.com', 'display_url': 'glutendude.com'}]}}",https://t.co/rRH7Eg3Q45,"{'followers_count': 14718, 'following_count': 1401, 'tweet_count': 22250, 'listed_count': 260}",GlutenDude,False,Gluten Dude,The man with a celiac plan...here to help all who have questions about celiac & staying sane in a gluten filled world. Mobile App now available. Book on Amazon.,"New York, NY",False,
1019024726,https://pbs.twimg.com/profile_images/1385347455936573445/sw632o-d_normal.jpg,"{'description': {'hashtags': [{'start': 0, 'end': 10, 'tag': 'VegasBorn'}]}}",,"{'followers_count': 116, 'following_count': 304, 'tweet_count': 3230, 'listed_count': 3}",isaac_is_fish,False,Isaac Salmon,"#VegasBorn Self-Proclaimed AvGeek, I make sure large metal tubes don’t hit each other 35,000 ft above your house. All views expressed are my own","Memphis, TN",False,
881296192960909312,https://pbs.twimg.com/profile_images/1248892765330702336/1mZhnAZ6_normal.jpg,"{'description': {'hashtags': [{'start': 0, 'end': 5, 'tag': 'MUFC'}]}}",,"{'followers_count': 137, 'following_count': 677, 'tweet_count': 7405, 'listed_count': 0}",JustDaniel_UK,False,Daniel,#MUFC,United Kingdom,False,1.1721737944898437e+18
