id,created_at,source,possibly_sensitive,lang,public_metrics,text,conversation_id,reply_settings,author_id,context_annotations,entities,in_reply_to_user_id,referenced_tweets,attachments,geo
1522322319770673152,2022-05-05T21:08:19.000Z,Twitter for Android,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 321 6/6

🟨🟩⬜⬜⬜
⬜⬜⬜⬜⬜
⬜⬜🟨⬜⬜
⬜🟩⬜🟨🟨
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",1522322319770673152,everyone,143405833,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1522322319108096004,2022-05-05T21:08:18.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 321 4/6

⬜⬜🟨🟨⬜
⬜🟨🟨⬜⬜
⬜🟩⬜🟨⬜
🟩🟩🟩🟩🟩

proud of my switch up ngl",1522322319108096004,everyone,234858884,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1522322318831366147,2022-05-05T21:08:18.000Z,Twitter for iPhone,False,tr,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle Türkçe 321 3/6

⬜⬜⬜⬜🟨
🟨⬜🟩⬜⬜
🟩🟩🟩🟩🟩

https://t.co/BMT4L2Wmth kolay mı? Galiba",1522322318831366147,everyone,145657439,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/BMT4L2Wmth', 'expanded_url': 'https://www.wordleturkce.com/', 'display_url': 'wordleturkce.com'}]}",,,,
1522322318814502913,2022-05-05T21:08:18.000Z,Twitter for Android,False,tr,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle Türkçe 321 5/6

⬜⬜🟨⬜⬜
⬜⬜⬜⬜🟩
⬜⬜🟩⬜🟩
⬜🟨🟩🟩🟩
🟩🟩🟩🟩🟩

https://t.co/LEfstJzeZd",1522322318814502913,everyone,1369415051745107975,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/LEfstJzeZd', 'expanded_url': 'https://bit.ly/WordleTR', 'display_url': 'bit.ly/WordleTR'}]}",,,,
1522322316528865280,2022-05-05T21:08:18.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 321 5/6

⬛⬛⬛⬛⬛
🟨🟨⬛🟨⬛
⬛⬛🟨🟨🟨
🟨🟩⬛⬛🟩
🟩🟩🟩🟩🟩 🖕🏾",1522322316528865280,everyone,738159209389293568,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1522322311961264128,2022-05-05T21:08:17.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}","Wordle 321 5/6*

🟨🟨⬛🟨⬛
⬛⬛🟨🟨🟩
⬛🟩🟩⬛🟩
⬛🟩🟩⬛🟩
🟩🟩🟩🟩🟩
🙁",1522322311961264128,everyone,1476110112,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1522322311147360257,2022-05-05T21:08:17.000Z,Twitter for Android,False,de,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","@StefWerner Fast verpasst!
Wördl 320 6/6 🔥2

🟨⬛⬛🟨⬛
⬛🟩⬛⬛🟩
⬛🟩⬛⬛🟩
⬛🟩⬛🟩🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩

https://t.co/1CU5mY7dU5",1490550927815843841,everyone,2462786292,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'urls': [{'start': 82, 'end': 105, 'url': 'https://t.co/1CU5mY7dU5', 'expanded_url': 'http://wordle.at', 'display_url': 'wordle.at'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'StefWerner', 'id': '103243791'}]}",103243791,"[{'type': 'replied_to', 'id': '1521720646690119680'}]",,
1522322308815527936,2022-05-05T21:08:16.000Z,Twitter for Android,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Wordle 321 3/6

⬜⬜🟨⬜🟩
🟨🟨⬜🟨🟩
🟩🟩🟩🟩🟩",1522322308815527936,everyone,39225342,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1522322306500296704,2022-05-05T21:08:15.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 321 4/6

🟨⬜🟩⬜⬜
⬜🟩🟩⬜🟩
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩",1522322306500296704,everyone,155877441,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1522322304163880960,2022-05-05T21:08:15.000Z,Twitter for Android,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","I so rarely bother with this game, but when I do...
#WChallenge 2/6
🟩⬛⬛⬛⬛
🟩🟩🟩🟩🟩
 https://t.co/o2ptnMbnLT",1522322304163880960,everyone,3882363263,,"{'urls': [{'start': 81, 'end': 104, 'url': 'https://t.co/o2ptnMbnLT', 'expanded_url': 'https://bit.ly/3JebOZJ', 'display_url': 'bit.ly/3JebOZJ', 'images': [{'url': 'https://pbs.twimg.com/news_img/1523454965347647488/bK3aylEq?format=png&name=orig', 'width': 600, 'height': 300}, {'url': 'https://pbs.twimg.com/news_img/1523454965347647488/bK3aylEq?format=png&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'W Challenge - Daily Word Game - Apps on Google Play', 'description': 'Guess and find all the words!', 'unwound_url': 'https://play.google.com/store/apps/details?id=com.shortcut.wordle'}], 'hashtags': [{'start': 52, 'end': 63, 'tag': 'WChallenge'}]}",,,,
1522322294118359040,2022-05-05T21:08:12.000Z,Twitter for Android,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}","Wordle 321 3/6

⬜🟩⬜⬜🟩
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩",1522322294118359040,everyone,1488417108048244736,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1522322289584394243,2022-05-05T21:08:11.000Z,Twitter for Android,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle Tildes #66 5/6

🟩⬜⬜⬜⬜⬜
🟩⬜⬜⬜🟩⬜
⬜⬜⬜🟨⬜⬜
🟨🟨⬜⬜⬜⬜
🟩🟩🟩🟩🟩🟩
 https://t.co/aFzJZigFOi",1522322289584394243,everyone,201751174,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'urls': [{'start': 59, 'end': 82, 'url': 'https://t.co/aFzJZigFOi', 'expanded_url': 'https://wordle.danielfrg.com/tildes/index.html', 'display_url': 'wordle.danielfrg.com/tildes/index.h…'}]}",,,,
