,name,protected,url,verified,public_metrics,description,profile_image_url,username,id,location,pinned_tweet_id,entities
1329778934846689281,かわたん,False,,False,"{'followers_count': 169, 'following_count': 189, 'tweet_count': 771, 'listed_count': 0}",アイコン作成：@mii_prcn様 過去所属クラン：加藤工務店/SimonPHX/永遠少年/（飛鳥）ヴァッシュ/大墳墓/研究会 現在：加藤工務店,https://pbs.twimg.com/profile_images/1363147413427351557/n9frwrNM_normal.jpg,bw_odds,,,1329782741345259521,"{'description': {'mentions': [{'start': 7, 'end': 16, 'username': 'mii_prcn'}]}}"
8033482,𝕋𝕆𝕄 𝕂𝕀𝕊𝕊,False,https://t.co/1D8YMp5Dzd,False,"{'followers_count': 2150, 'following_count': 1076, 'tweet_count': 26084, 'listed_count': 94}","Designer/code tinkerer. Building websites at @dodecastudio and running @electricbton. Dad, wingman to @dollsticks. Stop burning things! #divest #ActOnClimate",https://pbs.twimg.com/profile_images/1479463949460508678/5wpEeDkN_normal.jpg,tomkiss,,,796755286233149442,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/1D8YMp5Dzd', 'expanded_url': 'https://tomkiss.net', 'display_url': 'tomkiss.net'}]}, 'description': {'hashtags': [{'start': 136, 'end': 143, 'tag': 'divest'}, {'start': 144, 'end': 157, 'tag': 'ActOnClimate'}], 'mentions': [{'start': 45, 'end': 58, 'username': 'dodecastudio'}, {'start': 71, 'end': 84, 'username': 'electricbton'}, {'start': 102, 'end': 113, 'username': 'dollsticks'}]}}"
22313257,Cindy Johnson,False,,False,"{'followers_count': 299, 'following_count': 925, 'tweet_count': 1507, 'listed_count': 0}","Cheesehead, retired, sober a long time, love dogs ,books , motorcycles and the Green Bay Packers; people. ..not so much. #resist #voteblue #Biden/Harris",https://pbs.twimg.com/profile_images/1483818201028993029/r8tgohda_normal.jpg,cjbikerwmn,,"Waukesha, WI",,"{'description': {'hashtags': [{'start': 121, 'end': 128, 'tag': 'resist'}, {'start': 129, 'end': 138, 'tag': 'voteblue'}, {'start': 139, 'end': 145, 'tag': 'Biden'}]}}"
197875801,Guillermina,False,,False,"{'followers_count': 626, 'following_count': 423, 'tweet_count': 40117, 'listed_count': 0}","'El dinero compra velocidad pero no compra talento' A. Canapino.
Larga vida al Rey @GUILLEORTELLI
Hincha de Chevrolet. 
Socia de Boca.
Ningún descenso.",https://pbs.twimg.com/profile_images/1505727669370908674/XGvBnCk2_normal.jpg,brandsen805g,,República de La Boca,543264896386105344,"{'description': {'mentions': [{'start': 83, 'end': 97, 'username': 'GUILLEORTELLI'}]}}"
1258083560,Nina de Gramont,False,https://t.co/Wt0IIfRk8O,False,"{'followers_count': 1181, 'following_count': 362, 'tweet_count': 4048, 'listed_count': 19}","Writer, Teacher, Mom.",https://pbs.twimg.com/profile_images/1419340536960389123/IPfA7njf_normal.jpg,NinadeGramont,,,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Wt0IIfRk8O', 'expanded_url': 'http://ninadegramont.com', 'display_url': 'ninadegramont.com'}]}}"
1480917506743316485,Só Rola 🍆,False,,False,"{'followers_count': 118, 'following_count': 1845, 'tweet_count': 3769, 'listed_count': 0}",Vídeos aleatórios para você gozar e aproveitar. 🍆,https://pbs.twimg.com/profile_images/1485588854706999304/Ar5l5Mfl_normal.jpg,GayPornVideosBr,,"São Paulo, Brasil",,
14515169,hhickman,False,,False,"{'followers_count': 244, 'following_count': 2660, 'tweet_count': 9861, 'listed_count': 6}",Python/R dev working in medical informatics. Dad to four and almost empty nester. Liberal. Dog person. Opinions are my own.,https://pbs.twimg.com/profile_images/1310755525865472000/cUmzfOlz_normal.jpg,hhickman,,"Omaha, NE",,
28200587,Jess.,False,https://t.co/Zqxq1RITaV,False,"{'followers_count': 1969, 'following_count': 762, 'tweet_count': 60945, 'listed_count': 9}",just here for the jokes.,https://pbs.twimg.com/profile_images/1517484510727835648/z8dnHgqD_normal.jpg,jaylohh,,atl ,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Zqxq1RITaV', 'expanded_url': 'http://instagram.com/j.lorraine', 'display_url': 'instagram.com/j.lorraine'}]}}"
1278318589,橿原奎保,False,https://t.co/hkjbzUxT6Z,False,"{'followers_count': 135, 'following_count': 598, 'tweet_count': 35932, 'listed_count': 33}",じいさん党員。🌈 MShannon、SeanHarris、AfdelingQ、PCushing、BKeaton、柳家喜多八、漱石、GalápagosIslands、Volcano、Feline、Gymnocalycium,https://pbs.twimg.com/profile_images/1407668183864025088/EmfiuPnC_normal.jpg,gcj_ds,,徒長と生長の間,1089145351435563008,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/hkjbzUxT6Z', 'expanded_url': 'http://twilog.org/gcj_ds', 'display_url': 'twilog.org/gcj_ds'}]}}"
934052826443022336,Stephen,False,https://t.co/6ASr0OwyAU,False,"{'followers_count': 194, 'following_count': 1137, 'tweet_count': 17936, 'listed_count': 0}","""You don’t know how far you can go until you get there."" - Me, 2020

Photographer, Springfield, MO",https://pbs.twimg.com/profile_images/1501263022312017923/Zq0Cs2uB_normal.jpg,stephenshoots,,"Springfield, MO",1476330016116031499,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/6ASr0OwyAU', 'expanded_url': 'http://stephenevansphoto.com', 'display_url': 'stephenevansphoto.com'}]}}"
1428943085019406343,V,False,,False,"{'followers_count': 68, 'following_count': 79, 'tweet_count': 3405, 'listed_count': 1}","Ignorance is bliss 
Love Books, Anime, Movies, Cute Videos, Music and a little bit of politics. Running blockchains.",https://pbs.twimg.com/profile_images/1428954769603715072/Hp4uOkuQ_normal.jpg,P0SlTlVEVlBEZ,,,1479502788266582020,
302764210,Chelsea ☘️,False,https://t.co/wwJM90m8hh,False,"{'followers_count': 204, 'following_count': 233, 'tweet_count': 37813, 'listed_count': 5}",I ramble too much too often // she/her // 27 //,https://pbs.twimg.com/profile_images/1351959963304923137/LcCQ2yh3_normal.jpg,QuietChelsea,,not disney world,1419395486008680460,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/wwJM90m8hh', 'expanded_url': 'http://graciousportofships.tumblr.com/', 'display_url': 'graciousportofships.tumblr.com'}]}}"
17290569,Merlyn Temple 🍐,False,https://t.co/KcmusJjBkC,False,"{'followers_count': 369, 'following_count': 420, 'tweet_count': 2789, 'listed_count': 10}","Twitch affiliate, professional database person, wife, mother, friend, polyamorous, bi/cis/she/her.",https://pbs.twimg.com/profile_images/1163123917243990017/9-z1rT9x_normal.jpg,merlyntemple,,"Wisconsin, USA",1322715365592518657,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/KcmusJjBkC', 'expanded_url': 'http://www.twitch.tv/merlyntemple', 'display_url': 'twitch.tv/merlyntemple'}]}}"
568158643,h.,False,,False,"{'followers_count': 629, 'following_count': 127, 'tweet_count': 52489, 'listed_count': 12}",,https://pbs.twimg.com/profile_images/1308275193635315712/AFRWfqFW_normal.jpg,xbezubaan,,170308,,
1532558798,S.A. 🤔 🐷,False,https://t.co/FJcm9r1VEK,False,"{'followers_count': 1998, 'following_count': 1697, 'tweet_count': 165156, 'listed_count': 34}","34 años, calvo por opción, cruzado, crío cerditos de peluche 🐷, trabajo mirando micros en un computador, hago radio en @modoradiocl y @toleranciacerdo.",https://pbs.twimg.com/profile_images/1503673629749309441/Y3NepUbr_normal.jpg,DonSebaArce,,"Santiago, Chile",1520583090023718912,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/FJcm9r1VEK', 'expanded_url': 'https://www.mixcloud.com/mrmikemobitec/', 'display_url': 'mixcloud.com/mrmikemobitec/'}]}, 'description': {'mentions': [{'start': 119, 'end': 131, 'username': 'modoradiocl'}, {'start': 134, 'end': 150, 'username': 'toleranciacerdo'}]}}"
74568798,The Gluten Weasel,False,,False,"{'followers_count': 145, 'following_count': 435, 'tweet_count': 4869, 'listed_count': 3}",Radio friendly unit shifter. ugh/him?,https://pbs.twimg.com/profile_images/1488706145493696513/7Ng1MkVp_normal.jpg,EricOzanich,,"Lansing, MI. ",,
56373500,Angela Kiger,False,,False,"{'followers_count': 691, 'following_count': 1140, 'tweet_count': 18795, 'listed_count': 12}","Tigers fan, Grizz fan, Cards fan",https://pbs.twimg.com/profile_images/832407004262068227/waulmpHX_normal.jpg,angela_kiger,,Omaha via Memphis,1180622610771697664,
18845840,extraordinary megdrigal,False,https://t.co/0rJAqYuZo8,True,"{'followers_count': 968, 'following_count': 754, 'tweet_count': 11107, 'listed_count': 25}",West Coast Editor: Shows & News @TVGuide | TCA | CCA | The Challenge expert,https://pbs.twimg.com/profile_images/1124909151170117633/kXCkpY9x_normal.jpg,MeggoInc,,Los Angeles,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/0rJAqYuZo8', 'expanded_url': 'http://www.tvguide.com', 'display_url': 'tvguide.com'}]}, 'description': {'mentions': [{'start': 32, 'end': 40, 'username': 'TVGuide'}]}}"
21824515,sourBrisdough,False,https://t.co/455e6cCFBJ,False,"{'followers_count': 870, 'following_count': 552, 'tweet_count': 38327, 'listed_count': 0}","she/her. infj. stitchy witchy bitch. ✨ 
writer, reader, dumbass. 🔮
♌♉♈ 💍 spoosy goose of @brisdough
10/10 will tweet about the most random things",https://pbs.twimg.com/profile_images/1480695330010189827/9t8vlzbe_normal.jpg,trashbrownz,,#PushCesaro,712844864749248515,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/455e6cCFBJ', 'expanded_url': 'http://instagram.com/aconitestitches', 'display_url': 'instagram.com/aconitestitches'}]}, 'description': {'mentions': [{'start': 89, 'end': 99, 'username': 'brisdough'}]}}"
1265762318379388931,mangomango@DELEC1挑戦中,False,,False,"{'followers_count': 34, 'following_count': 112, 'tweet_count': 196, 'listed_count': 1}",DELE受験のための勉強用アカとして運用してます。目指せC1合格！それ以外の資格勉強や仕事、スペイン語、ドラマ、愚痴などをつぶやく裏アカとしての役目も多し,https://pbs.twimg.com/profile_images/1265935560415145995/epozEznF_normal.jpg,mangomango1964,,,1392414807253413894,
3258204973,"Mr. Joshua!, in the O.C.",False,,False,"{'followers_count': 652, 'following_count': 1137, 'tweet_count': 8684, 'listed_count': 4}",Jungle clone since 1993 here in SoCal. Huge Depeche Mode fan.,https://pbs.twimg.com/profile_images/1247383326316326912/LmVScPT5_normal.jpg,RosemaryLuvsJim,,SoCal,1408490370258722817,
632839976,fighting on arrival,False,https://t.co/1yu3fKBHkv,False,"{'followers_count': 126, 'following_count': 454, 'tweet_count': 13197, 'listed_count': 2}","She/her. 30s. Was fighting for survival. Necromancy, like time travel, like robot love, is queer. Please respect my terrible choices.",https://pbs.twimg.com/profile_images/599072588237778944/KJkQqBsk_normal.jpg,fightingarrival,,,1278462884406755330,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/1yu3fKBHkv', 'expanded_url': 'http://archiveofourown.org/users/fightingarrival/pseuds/fightingarrival', 'display_url': 'archiveofourown.org/users/fighting…'}]}}"
54700979,Ivan 🌈,False,,False,"{'followers_count': 122, 'following_count': 653, 'tweet_count': 7438, 'listed_count': 4}","vader van 4, plus-vader van 2, (jonge) grootvader van 3 jongens",https://pbs.twimg.com/profile_images/650781045932077057/uHXS3oaJ_normal.jpg,ivanverbruggen,,"Hulst, Nederland",,
